_step,l2_error,_runtime,_timestamp,loss_boundary,step,time,loss,loss_interior
0,1.614129210564665,16.559075593948364,1715422556.4080317,1.4837270046698947,0,12.274648904800415,118.81568917531203,117.33196217064214
1,1.646905901969221,27.58571696281433,1715422567.434673,1.5514449491151854,1,23.704031705856323,119.76231114259022,118.21086619347504
2,2.2540529130730715,38.81621313095093,1715422578.6651692,1.5408646818223115,2,34.934032917022705,119.3991833513103,117.85831866948799
3,2.800260386659915,49.96690630912781,1715422589.8158624,2.8151670405689644,3,46.082847356796265,107.538462733356,104.72329569278703
4,2.4377298613602494,61.1713171005249,1715422601.0202732,3.8078523702310942,4,57.28928995132446,72.84566565534197,69.03781328511089
5,0.6016797757903309,72.39999103546143,1715422612.2489471,2.9855715792157786,5,68.5176854133606,35.480586849392566,32.495015270176786
6,0.2140446417696964,83.68119525909424,1715422623.5301514,0.19461382751926318,6,79.79895210266113,9.16253952413111,8.967925696611848
7,0.09124398050612835,95.0368287563324,1715422634.8857849,0.032780589588382945,7,91.15453934669495,1.4073484304688726,1.3745678408804896
8,0.04380395049945387,106.3801326751709,1715422646.2290888,0.004918730380011839,8,102.49754667282104,0.09418623926138932,0.08926750888137748
9,0.02583889412651637,117.73804783821106,1715422657.587004,0.001057244346461619,9,113.85569405555725,0.012467610907113812,0.011410366560652193
10,0.012003607999880829,129.08252120018005,1715422668.9314773,0.00040546479021996934,10,125.19990921020508,0.0026005840850653527,0.0021951192948453835
11,0.006231996500027371,140.44339776039124,1715422680.2923539,8.991071120380938e-05,11,136.5614628791809,0.0011192318309182975,0.0010293211197144882
12,0.0028560394195669904,151.69769024848938,1715422691.5466464,2.736315918829365e-05,12,147.81537127494812,0.0003156566913620518,0.00028829353217375814
13,0.0023579275151808417,162.95631003379822,1715422702.8052661,6.9060196923364935e-06,13,159.07431387901306,9.284996589147388e-05,8.594394619913738e-05
14,0.003096533213433788,174.29355001449585,1715422714.1425061,5.065725148765078e-06,14,170.41087698936462,5.795216727545667e-05,5.2886442126691596e-05
15,0.0025653906613772814,185.70583486557007,1715422725.554791,7.202937960766504e-06,15,181.8230459690094,2.66175451032317e-05,1.9414607142465197e-05
16,0.0021437399330045234,197.00928854942322,1715422736.8582447,5.161096015784683e-06,16,193.12665677070618,1.8693972559342426e-05,1.3532876543557742e-05
17,0.001742474281876338,208.24654722213745,1715422748.0955033,4.4090278658250256e-06,17,204.3640375137329,1.5358503885191375e-05,1.0949476019366348e-05
18,0.0014635909789607762,219.65719747543335,1715422759.5061536,3.0524353068186816e-06,18,215.77433729171753,1.110119604081167e-05,8.048760733992989e-06
19,0.0012350906023223026,230.95211005210876,1715422770.8010662,2.3257415489944035e-06,19,227.06930565834045,9.138963119355994e-06,6.813221570361591e-06
20,0.001164299620052915,242.20627450942993,1715422782.0552306,1.9522428439589093e-06,20,238.32432770729065,7.434266758648081e-06,5.482023914689172e-06
21,0.0011470297108389894,253.58897948265076,1715422793.4379356,2.1236416043404357e-06,21,249.7063593864441,6.94022195470688e-06,4.816580350366444e-06
22,0.0010317515460030375,264.8755769729614,1715422804.724533,1.6866510270389243e-06,22,260.99292731285095,6.083866388344805e-06,4.397215361305881e-06
23,0.0009634168706052654,276.277060508728,1715422816.1260166,1.2590060770850263e-06,23,272.3943016529083,5.033979222897621e-06,3.7749731458125944e-06
24,0.0009097508595764229,287.55726385116577,1715422827.40622,1.2226049892361034e-06,24,283.67457008361816,4.410670810357232e-06,3.188065821121128e-06
25,0.0008730252246788403,298.86833238601685,1715422838.7172885,1.2494305016004007e-06,25,294.9863979816437,4.144806611910315e-06,2.8953761103099143e-06
26,0.0008254934142834383,310.2732079029083,1715422850.122164,1.209339542660204e-06,26,306.3883361816406,4.606733265493534e-06,3.39739372283333e-06
27,0.0008281021927965185,321.5331606864929,1715422861.3821168,1.045551252581062e-06,27,317.65093183517456,3.972934206511801e-06,2.9273829539307397e-06
28,0.0008110298935063359,332.82281470298767,1715422872.6717708,9.609239150051299e-07,28,328.9407699108124,3.887381105400546e-06,2.9264571903954155e-06
29,0.0008114248722152392,344.1904866695404,1715422884.0394428,8.601211984943987e-07,29,340.3080008029938,3.6769366963555413e-06,2.8168154978611425e-06
30,0.0008524382841140939,355.4901580810547,1715422895.3391142,9.525666557525495e-07,30,351.60816836357117,3.641413346964691e-06,2.688846691212141e-06
31,0.0007565781136586674,366.84710240364075,1715422906.6960585,1.0066989551071496e-06,31,362.9598264694214,3.680558243095632e-06,2.6738592879884825e-06
32,0.000842816028291423,378.06605648994446,1715422917.9150126,8.271994887490701e-07,32,374.1837430000305,3.480977692808566e-06,2.653778204059496e-06
33,0.0008420887327099444,389.3336732387543,1715422929.1826293,8.098144673114661e-07,33,385.45120310783386,3.3737749640649073e-06,2.563960496753441e-06
34,0.0006683355266634066,400.6708302497864,1715422940.5197864,7.226241368749457e-07,34,396.78885412216187,3.070700836174787e-06,2.3480766992998415e-06
35,0.0006581090461817079,412.0152072906494,1715422951.8641634,5.637726784343745e-07,35,408.13309359550476,2.8494580552633997e-06,2.2856853768290253e-06
36,0.0007870118596670623,423.2681794166565,1715422963.1171355,6.946081203042711e-07,36,419.3853528499603,2.9302824929082397e-06,2.2356743726039686e-06
37,0.0006531900981420252,434.5939130783081,1715422974.4428692,6.501393971664745e-07,37,430.7114942073822,2.3344894582041836e-06,1.6843500610377092e-06
38,0.0008077557040228351,445.866277217865,1715422985.7152333,5.972402473546845e-07,38,441.98405861854553,2.6436258894280576e-06,2.046385642073373e-06
39,0.000603776649566062,457.20889139175415,1715422997.0578475,7.725019524255596e-07,39,453.3264124393463,2.7267219801136458e-06,1.954220027688086e-06
40,0.0005870975364955624,468.4889245033264,1715423008.3378806,5.599677005414096e-07,40,464.60594511032104,2.302440157514333e-06,1.742472456972923e-06
41,0.0005511363899542564,491.1819996833801,1715423031.0309558,4.849776002506634e-07,42,487.29944825172424,1.852790546777371e-06,1.3678129465267075e-06
42,0.0005146559694507752,536.3772165775299,1715423076.2261727,4.6834776099864555e-07,46,532.4945030212402,1.8592374234375095e-06,1.390889662438864e-06
43,0.0004830701082084503,581.6975598335266,1715423121.546516,3.9448996318829437e-07,50,577.8153672218323,1.4623135043283009e-06,1.0678235411400064e-06
44,0.0004580540087499689,638.3566553592682,1715423178.2056115,3.2651900330675624e-07,55,634.4743061065674,1.256189249702637e-06,9.296702463958807e-07
45,0.0004304606129411152,706.2423045635223,1715423246.0912607,3.2625302068498506e-07,61,702.3594195842743,1.0859822893212312e-06,7.597292686362461e-07
46,0.0004151594391692413,774.1123006343842,1715423313.9612567,2.726393448414723e-07,67,770.2295837402344,1.007257321417368e-06,7.346179765758956e-07
47,0.0004496050648126584,841.8889646530151,1715423381.7379208,3.173295960687908e-07,73,838.0065987110138,1.082698832177745e-06,7.653692361089543e-07
48,0.0003660916858828641,932.4087703227997,1715423472.2577264,2.1820841807860127e-07,81,928.5258684158325,7.194102937002906e-07,5.012018756216893e-07
49,0.0003561345572415355,1022.8907556533813,1715423562.7397118,2.2701322935224488e-07,89,1019.0083093643188,8.048190776277388e-07,5.778058482754939e-07
50,0.0003526337999271347,1124.5491905212402,1715423664.3981466,1.7938075413467482e-07,98,1120.6664216518402,5.605035566659105e-07,3.811228025312357e-07
51,0.0003459882285187741,1226.625746011734,1715423766.4747021,2.2611769095684698e-07,107,1222.7428498268127,7.187478008803092e-07,4.926301099234622e-07
52,0.0003294364609161048,1351.1377892494202,1715423890.9867454,1.548955134027397e-07,118,1347.2547459602356,4.6864410551774884e-07,3.1374859211500917e-07
53,0.00031328828143787084,1486.855572462082,1715424026.7045286,1.5615108237628574e-07,130,1482.9728825092316,4.5312009637757875e-07,2.96969014001293e-07
54,0.00030430718844994453,1633.3994162082672,1715424173.2483723,1.7478686341093276e-07,143,1629.516544342041,5.15711579666003e-07,3.409247162550703e-07
