step,time,_step,loss_boundary,loss,loss_interior,_runtime,l2_error,_timestamp
0,1.5967581272125244,0,1.5480622822617889,124.79941088089237,123.25134859863059,7.030103921890259,1.5222498637303652,1715427291.1544669
1,2.7862751483917236,1,1.4182833509795132,123.40293029010088,121.98464693912138,7.401829719543457,1.3350860147714714,1715427291.5261927
2,3.1372833251953125,2,1.0269775626184041,107.14587833532254,106.11890077270414,7.7527570724487305,1.1133706314304874,1715427291.87712
3,3.4897866249084473,3,0.6664818898746624,100.17246018311937,99.50597829324471,8.106658935546875,1.109932602369091,1715427292.231022
4,3.8399198055267334,4,0.6664262297636456,88.09820384168798,87.43177761192433,8.455393314361572,0.9100536443466646,1715427292.5797563
5,4.203470706939697,5,0.4879756840430785,77.00705689176284,76.51908120771976,8.819358825683594,0.8487816036677537,1715427292.9437218
6,4.552780866622925,6,0.47253897731408023,70.22570998113076,69.75317100381669,9.168328046798706,0.9256218007993162,1715427293.292691
7,4.9161529541015625,7,0.6005678652628683,55.64770344039826,55.04713557513539,9.531891822814941,0.9008615074761873,1715427293.6562548
8,5.270697593688965,8,0.5083283812989209,50.986008466552,50.47768008525308,9.886444330215454,1.0723875332308515,1715427294.0108073
9,5.627235412597656,9,0.795242272886874,38.84939600656615,38.05415373367928,10.243075370788574,0.9886063195111682,1715427294.3674383
10,5.998589277267456,10,0.6996994066224635,36.83676093432061,36.137061527698144,10.614073991775513,0.9632803359386463,1715427294.738437
11,6.368129730224609,11,0.6441188812016369,34.94877053350612,34.304651652304486,10.98361873626709,0.9443027934902587,1715427295.1079817
12,6.724431037902832,12,0.6424570547449805,32.58061080838295,31.938153753637966,11.339920282363892,0.9599232772936266,1715427295.4642832
13,7.1114821434021,13,0.5936507941031594,33.34663872741472,32.75298793331156,11.727520227432251,0.9514317318719228,1715427295.8518832
14,7.47084903717041,14,0.6675340247291616,34.41573368500081,33.748199660271645,12.08653712272644,0.9809302915848751,1715427296.2109
15,7.826443433761597,15,0.6564556026596943,32.052316884846405,31.395861282186708,12.442020893096924,0.9817736537625159,1715427296.5663838
16,8.178033113479614,16,0.736014255011359,29.83333445707521,29.09732020206385,12.793610334396362,1.0065772716313788,1715427296.9179733
17,8.533061265945435,17,0.7296400828766323,27.98539099534521,27.255750912468578,13.148584842681885,1.0139542411911122,1715427297.2729478
18,8.895476818084717,18,0.7358529448602122,27.571580192155164,26.83572724729495,13.511187553405762,1.0353248642824038,1715427297.6355505
19,9.25582504272461,19,0.7118401270863656,26.79294511724355,26.081104990157186,13.871610879898071,1.0459584490096137,1715427297.9959738
20,9.615834712982178,20,0.7699939538475936,25.982175437159917,25.212181483312325,14.2315194606781,1.0596704498870586,1715427298.3558824
21,9.972405910491943,21,0.7831227765976759,26.655824397359446,25.87270162076177,14.588075876235962,1.0772740433748949,1715427298.7124388
22,10.320817947387695,22,0.8311182605028677,26.92748520789999,26.096366947397122,14.93630838394165,1.082637788699803,1715427299.0606713
23,10.696653366088867,23,0.86245124253421,26.301561577880037,25.439110335345827,15.312102317810059,1.1865668468525947,1715427299.4364653
24,11.056850910186768,24,0.9256013181109579,24.54126958431245,23.615668266201492,15.672384977340698,1.176038449033761,1715427299.796748
25,11.419759273529053,25,0.9563102750780704,24.284796908214453,23.328486633136382,16.035311222076416,1.2756728409516827,1715427300.1596742
26,11.798589944839478,26,1.1235720779021603,25.142699469294104,24.019127391391944,16.414414882659912,1.2599165831424095,1715427300.5387778
27,12.172938823699951,27,1.0880050572270645,23.639226576060658,22.551221518833593,16.788721561431885,1.3636299643800447,1715427300.9130845
28,12.531647205352783,28,1.2010271350550576,22.72069068046486,21.519663545409802,17.147345304489136,1.3467149285323425,1715427301.2717083
29,12.88374638557434,29,1.253013712556215,22.42699298634661,21.173979273790398,17.499228477478027,1.327830660946737,1715427301.6235914
30,13.241984844207764,30,1.3137014320320783,21.48228995977677,20.168588527744692,17.85758924484253,1.4922793436833401,1715427301.9819522
