_step,loss_boundary,loss,step,_timestamp,loss_interior,time,_runtime,l2_error
0,1.5480622822617889,124.79941088089237,0,1715435628.11496,123.25134859863059,37.73035764694214,41.99417304992676,1.5964098205164026
1,1.6003279746587724,124.41945651253309,1,1715435664.2911007,122.81912853787432,74.29768991470337,78.17031383514404,1.6954985144290298
2,1.7862672829283561,105.7034920695806,2,1715435700.244381,103.91722478665226,110.25128293037415,114.12359404563904,1.575015773055156
3,1.5398106722376892,96.48307314900816,3,1715435736.7509692,94.94326247677047,146.7559311389923,150.63018226623535,1.2984637685505354
4,0.9911104364837323,69.0592434100021,4,1715435773.400759,68.06813297351836,183.40784978866577,187.27997207641602,1.3562318258919006
5,1.063065607510199,12.2314108693088,5,1715435810.1249661,11.168345261798601,220.13158249855042,224.00417923927307,0.43450812105117625
6,0.11182032813931332,1.7967140333767875,6,1715435846.9324028,1.6848937052374742,256.93862199783325,260.8116159439087,0.13856229967598754
7,0.011804754653489173,0.1253572130077154,7,1715435883.7316656,0.11355245835422624,293.7382700443268,297.6108787059784,0.050071238833353904
8,0.0016808921223403744,0.012407730339372874,8,1715435920.8753512,0.0107268382170325,330.8821406364441,334.7545642852783,0.011950122463497326
9,0.00011275132136782049,0.0009882420217826801,9,1715435957.636337,0.0008754907004148597,367.6433448791504,371.51555013656616,0.005226493108853876
10,1.9843718001398096e-05,0.00014336901628714358,10,1715435994.4308605,0.00012352529828574548,404.43735671043396,408.3100736141205,0.0026070115325712417
11,7.938232287697e-06,4.212951160495415e-05,11,1715436031.2996106,3.419127931725715e-05,441.3064796924591,445.1788237094879,0.0022104364911316064
12,6.10724320363017e-06,2.393013551517493e-05,12,1715436068.0521305,1.7822892311544762e-05,478.05890440940857,481.93134355545044,0.001854661128041746
13,4.514144583161842e-06,1.8079305067463174e-05,13,1715436104.7934332,1.3565160484301332e-05,514.7986142635345,518.6726462841034,0.00159379835441088
14,3.930034363351326e-06,1.6213672833229306e-05,14,1715436141.4396372,1.2283638469877981e-05,551.4466767311096,555.3188502788544,0.001397043311058491
15,2.4446749781963657e-06,1.071653527816447e-05,15,1715436178.0115383,8.271860299968104e-06,588.0182712078094,591.8907513618469,0.0012441676026671601
