step,_runtime,loss,l2_error,loss_boundary,time,_step,_timestamp,loss_interior
0,40.85545301437378,0.10313500670145485,0.21095587362547816,0.10221430993907545,36.74436712265015,0,1715519407.415536,0.0009206967623794066
1,76.83757519721985,0.08259130286732988,0.20985282432646302,0.08208148188427943,73.11230230331421,1,1715519443.397658,0.0005098209830504563
2,112.77876925468445,0.0820313328976371,0.209677546210736,0.0815315819598269,109.05311679840088,2,1715519479.3388522,0.0004997509378102021
3,149.06096053123474,0.08191256670703081,0.20959263828523064,0.08140176685109124,145.33573818206787,3,1715519515.6210434,0.000510799855939576
4,185.40725374221802,0.08184469007910374,0.208629037142168,0.08133111854651291,181.68038296699524,4,1715519551.9673367,0.0005135715325908176
5,222.11814975738525,0.08140202213558431,0.2062753957507568,0.08095865339670212,218.39257073402405,5,1715519588.6782327,0.00044336873888218485
6,258.5007050037384,0.06968730841849355,0.1951001196331239,0.0690025914150506,254.77536964416504,6,1715519625.060788,0.0006847170034429508
7,294.93391847610474,0.06746729000606295,0.20379974076038065,0.06713600499821976,291.20840430259705,7,1715519661.4940014,0.000331285007843197
8,331.45341897010803,0.05385348800865082,0.2222630470959947,0.052778870383202406,327.7278096675873,8,1715519698.013502,0.0010746176254484124
9,368.2206115722656,0.047423619833988025,0.17705763108615075,0.046782651019332634,364.4952220916748,9,1715519734.7806945,0.0006409688146553908
10,405.20857977867126,0.03783157109440418,0.1588493792736033,0.035182707053110385,401.48257875442505,10,1715519771.7686627,0.002648864041293797
11,441.3354330062866,0.03302425101805733,0.16142556382189185,0.02850147994033802,437.610214471817,11,1715519807.895516,0.004522771077719309
12,478.09560656547546,0.028187972163454336,0.10359275242883197,0.02466735738571919,474.36964297294617,12,1715519844.6556895,0.0035206147777351446
13,514.5448491573334,0.013552444844604753,0.08201214794459165,0.013360420608762216,510.81825280189514,13,1715519881.104932,0.00019202423584253748
14,551.0674104690552,0.007179197832358395,0.038848340107980925,0.0055857014478007845,547.3419620990753,14,1715519917.6274934,0.0015934963845576106
15,587.4460310935974,0.0018931517244628743,0.02037912206919248,0.0015869210852080043,583.7205512523651,15,1715519954.006114,0.0003062306392548699
16,623.8350887298584,0.0012901501104824226,0.01754819050636084,0.0005473333145253605,620.1097025871277,16,1715519990.3951716,0.000742816795957062
17,660.0209205150604,0.000937350752871846,0.007716046033446911,0.0003510486869943115,656.2952952384949,17,1715520026.5810034,0.0005863020658775346
18,696.3452706336975,0.00020190048723526264,0.004641077128379931,0.0001123344988961508,692.6198441982269,18,1715520062.9053535,8.956598833911183e-05
19,732.9543056488037,2.101092644698299e-05,0.0011484280207008186,1.7417915042707858e-05,729.228791475296,19,1715520099.5143886,3.5930114042751303e-06
20,769.3411107063293,3.898973514765577e-06,0.00021529610195178942,1.5019207483973131e-06,765.6155533790588,20,1715520135.9011936,2.3970527663682635e-06
21,805.8803350925446,6.509364821645967e-07,5.201607630740092e-05,9.603326074249803e-08,802.1544575691223,21,1715520172.440418,5.549032214220987e-07
22,842.206643819809,2.2428484744965956e-08,4.344973398579196e-05,4.677914255498122e-09,838.4813497066498,22,1715520208.7667267,1.7750570489467835e-08
23,878.6014742851257,1.6515353624676025e-08,2.529257009511853e-05,1.9868074690819286e-09,874.8759887218475,23,1715520245.1615572,1.4528546155594097e-08
24,915.2029452323914,1.2713011090156046e-08,1.833769180309407e-05,9.171238397294301e-10,911.4771285057068,24,1715520281.7630281,1.1795887250426615e-08
25,951.8032672405243,9.58641533712202e-09,1.3040939286873902e-05,2.576710446535228e-10,948.0776584148407,25,1715520318.3633502,9.328744292468497e-09
26,988.6988322734833,8.234754377825475e-09,1.8553474320812407e-05,2.529930216002523e-10,984.9733772277832,26,1715520355.2589152,7.981761356225223e-09
27,1025.02889919281,6.8861854323621436e-09,1.2243355235464298e-05,2.2038730920859643e-10,1021.3035933971405,27,1715520391.588982,6.665798123153547e-09
