_step,l2_error,_runtime,loss_boundary,time,loss,_timestamp,step,loss_interior
0,0.23176575847875563,5.149986743927002,0.10221430993907545,1.245253086090088,0.10313500670145485,1715517392.6504967,0,0.0009206967623794066
1,0.23412749495605514,5.443275690078735,0.07834977280594103,1.7556045055389404,0.07839716386735875,1715517392.9437857,1,4.7391061417706574e-05
2,0.22976258971329533,5.722357273101807,0.0765701841866659,2.035233497619629,0.07661467729437625,1715517393.2228673,2,4.449310771035232e-05
3,0.1701799641641546,6.05058217048645,0.07247441970072241,2.3635175228118896,0.07249963062029982,1715517393.5510921,3,2.521091957741785e-05
4,0.09943130879741813,6.424331188201904,0.053685268746229385,2.737239360809326,0.05435100986491315,1715517393.9248412,4,0.0006657411186837593
5,0.10664243663979628,7.020334005355835,0.025690059261751927,3.3332488536834717,0.026808003124981446,1715517394.520844,5,0.0011179438632295206
6,0.09820883643649511,7.589474201202393,0.021682358235812625,3.9023282527923584,0.02324098099396747,1715517395.0899842,6,0.001558622758154843
7,0.10027596834430196,8.189039707183838,0.014799454117322211,4.500595808029175,0.01646153822414913,1715517395.6895497,7,0.001662084106826919
8,0.050520398778229135,8.82912015914917,0.007657369905024221,5.142020225524902,0.010070799676130232,1715517396.3296301,8,0.0024134297711060106
9,0.04952901840223903,9.436707258224487,0.0031503453999321327,5.749555349349976,0.0042917939897108605,1715517396.9372172,9,0.0011414485897787278
10,0.020650606151299385,10.228068113327026,0.0018252946193404941,6.540951251983643,0.003046957522215182,1715517397.728578,10,0.0012216629028746877
11,0.015908612587306126,11.214294910430908,0.0005396918742758684,7.5271406173706055,0.0010130004700441863,1715517398.714805,11,0.00047330859576831796
12,0.006857128643252829,11.99170470237732,0.00034106836898355365,8.304580450057983,0.0006989839791990645,1715517399.4922147,12,0.0003579156102155109
13,0.0039590007331866284,13.234107255935669,5.8286725247993866e-05,9.546936511993408,0.00021451887744978527,1715517400.7346172,13,0.0001562321522017914
14,0.0036193727147894334,14.059967517852783,1.479025670520429e-05,10.372819185256958,3.801183220498181e-05,1715517401.5604775,14,2.3221575499777523e-05
15,0.004405555971785954,15.444044351577759,9.894063940728032e-06,11.75680923461914,2.6253256866273874e-05,1715517402.9445543,15,1.6359192925545843e-05
16,0.0041920134094613655,16.385786533355713,1.2323481166547956e-05,12.69865083694458,2.2931369250817966e-05,1715517403.8862965,16,1.060788808427001e-05
17,0.0028310111919400377,17.48600745201111,9.917034804056432e-06,13.798836708068848,1.973945264505899e-05,1715517404.9865174,17,9.82241784100256e-06
18,0.001731655647472076,18.734522819519043,4.5428624895044606e-06,15.047175645828247,1.1250602243521873e-05,1715517406.2350328,18,6.707739754017412e-06
19,0.001550166162619207,19.62330675125122,2.0145407712867017e-06,15.936022520065308,7.192501235182819e-06,1715517407.1238167,19,5.177960463896117e-06
20,0.0013396419240078122,21.300997018814087,1.4701145970686025e-06,17.613781452178955,5.48601773480216e-06,1715517408.801507,20,4.0159031377335574e-06
21,0.0012593143072935698,23.30429482460022,1.0620065652730857e-06,19.617199182510376,2.468978759140212e-06,1715517410.8048048,21,1.4069721938671261e-06
22,0.0011317098023958232,24.112531185150146,8.628784804670111e-07,20.425398111343384,2.050577108565857e-06,1715517411.6130412,22,1.187698628098846e-06
23,0.0009687830319830899,25.62441062927246,6.972725255141081e-07,21.93725323677063,1.8451415815655286e-06,1715517413.1249206,23,1.1478690560514207e-06
24,0.0008397719558944926,26.411269426345825,5.366817676975951e-07,22.72412872314453,1.5840973107161892e-06,1715517413.9117794,24,1.0474155430185941e-06
25,0.0007021493303571851,27.262706518173218,4.071995466109968e-07,23.575536966323853,1.422315332596105e-06,1715517414.7632165,25,1.0151157859851082e-06
26,0.0006130771378720882,29.071176767349243,3.004378980942885e-07,25.38405680656433,1.184335821533394e-06,1715517416.5716867,26,8.838979234391055e-07
27,0.0005671951321815673,30.25448489189148,2.883731540560722e-07,26.567370891571045,1.1177536414192123e-06,1715517417.7549949,27,8.2938048736314e-07
28,0.0004944484519040115,31.531504154205322,2.719692605666169e-07,27.844280242919922,1.001397756203846e-06,1715517419.0320141,28,7.294284956372291e-07
29,0.0003868970766061226,32.11515736579895,2.2027632671124925e-07,28.428009748458862,9.003728270293271e-07,1715517419.6156673,29,6.800965003180779e-07
30,0.0004046688286176787,34.67735958099365,1.6999889829194689e-07,30.990001916885376,7.838944385186219e-07,1715517422.1778696,30,6.138955402266751e-07
31,0.00031218186902994287,35.659663915634155,1.1227663914816746e-07,31.972413063049316,5.438747810338656e-07,1715517423.160174,31,4.3159814188569815e-07
32,0.00031250215340960846,36.65272855758667,1.34537737878341e-07,32.965442419052124,5.461933013955318e-07,1715517424.1532385,32,4.116555635171908e-07
33,0.0004101923182325031,39.88516712188721,1.4366690803419442e-07,36.19801640510559,5.247676353202552e-07,1715517427.385677,33,3.811007272860608e-07
34,0.0003775169614871494,40.784029722213745,1.9522670365591983e-07,37.09687900543213,5.54359893061601e-07,1715517428.2845397,34,3.591331894056812e-07
35,0.00016948130655164868,43.141194581985474,1.6308094406424892e-07,39.45405912399292,5.002211187495179e-07,1715517430.6417046,35,3.3714017468526904e-07
