_step,_timestamp,step,time,loss_interior,loss_boundary,l2_error,loss,_runtime
0,1715516154.4877563,0,1.221229076385498,0.0009206967623794066,0.10221430993907545,0.22467163434412257,0.10313500670145485,5.312425136566162
1,1715516154.7313807,1,1.6712672710418701,0.0025049726362692346,0.07394610047746539,0.136291662112626,0.07645107311373463,5.556049585342407
2,1715516155.008679,2,1.9489128589630127,0.012116204734048865,0.03830070461096129,0.10469126388722162,0.050416909345010155,5.833347797393799
3,1715516155.323814,3,2.2640416622161865,0.002577881545137652,0.023007891565952964,0.08543221425735055,0.025585773111090615,6.148482799530029
4,1715516155.6763082,4,2.6165099143981934,0.001645299690014431,0.011025458836989032,0.047723422974394386,0.012670758527003462,6.500977039337158
5,1715516156.066493,5,3.00669527053833,0.0014284903106159662,0.0025087132107962005,0.02709141161631225,0.003937203521412167,6.891161918640137
6,1715516156.4830825,6,3.423262357711792,0.0011005134556826934,0.0009836118980570984,0.02081816760223336,0.002084125353739792,7.307751417160034
7,1715516156.8998175,7,3.839980363845825,0.0008749587342184176,0.000473548258029989,0.020635996000772847,0.0013485069922484067,7.724486351013184
8,1715516157.317847,8,4.25802755355835,0.000539953080999457,0.0004375908476145747,0.007473444072758404,0.0009775439286140316,8.142515897750854
9,1715516157.736064,9,4.676222324371338,0.00042613973752656594,7.170205445100093e-05,0.008303566208330873,0.0004978417919775668,8.5607328414917
10,1715516158.1626985,10,5.101588487625122,0.00015675184742050698,7.31924122994433e-05,0.005132410764043482,0.0002299442597199503,8.987367391586304
11,1715516158.581757,11,5.5219340324401855,0.00011719290977023285,3.97410466753381e-05,0.004567014689839129,0.00015693395644557096,9.406425952911377
12,1715516159.005398,12,5.945554971694946,7.602709712400038e-05,2.705918222005753e-05,0.004481507260279361,0.0001030862793440579,9.830066919326782
13,1715516159.4222932,13,6.3624584674835205,4.373919166928228e-05,2.1597878868957008e-05,0.0036199343728524768,6.533707053823929e-05,10.246962070465088
14,1715516159.8401816,14,6.780364990234375,3.371138934215052e-05,1.7179927934442155e-05,0.0038658770630707264,5.089131727659268e-05,10.66485047340393
15,1715516160.2561212,15,7.1963067054748535,2.6874808403323375e-05,1.7253500887579368e-05,0.0037873318736190396,4.412830929090274e-05,11.080790042877197
16,1715516160.67178,16,7.611964702606201,1.9152704731337803e-05,1.7912012555666915e-05,0.0028371752681715704,3.706471728700472e-05,11.496448993682861
17,1715516161.0887697,17,8.028934001922607,1.7568488843877326e-05,1.0523610773412726e-05,0.0029041061298336547,2.8092099617290052e-05,11.913438558578491
18,1715516161.5072355,18,8.447420358657837,1.3657000551147613e-05,1.0004794702698875e-05,0.0024227568644176927,2.3661795253846488e-05,12.331904411315918
19,1715516161.926768,19,8.86694860458374,1.2044897086906855e-05,7.834945864153277e-06,0.002245577144645815,1.9879842951060134e-05,12.751436948776245
20,1715516162.3458254,20,9.285983800888062,1.1591828845845903e-05,6.70669266548664e-06,0.0021783157211221127,1.8298521511332545e-05,13.170494318008423
21,1715516162.767572,21,9.707736253738403,1.1326444457184931e-05,5.337226926457875e-06,0.0019212166424973473,1.6663671383642806e-05,13.592240810394287
22,1715516163.1999724,22,10.140153884887695,8.98299424124737e-06,4.668941591998026e-06,0.001787921898120354,1.3651935833245395e-05,14.024641275405884
