step,time,_runtime,_timestamp,loss_boundary,loss_interior,loss,_step,l2_error
0,1.2793288230895996,5.282542943954468,1715524760.492815,0.14074845709614556,0.00033384008246040104,0.14108229717860596,0,0.20519688817897727
1,1.8147392272949219,5.603710174560547,1715524760.8139822,0.0674972926336936,6.130197480546706e-05,0.06755859460849907,1,0.20570193959771235
2,2.194956064224243,5.983937501907349,1715524761.1942096,0.06183131815249416,4.1513515802402947e-05,0.06187283166829656,2,0.15763565607763705
3,2.6736769676208496,6.462702751159668,1715524761.6729748,0.04088009541415669,0.0009443643873697618,0.04182445980152646,3,0.10837846383863457
4,3.2861194610595703,7.0752129554748535,1715524762.285485,0.02810319148680911,0.0013847817166278056,0.029487973203436914,4,0.12014528430932368
5,4.019303798675537,7.808351039886475,1715524763.018623,0.022241528438969517,0.0015461931869919152,0.023787721625961433,5,0.10759282286161916
6,4.7769615650177,8.566016912460327,1715524763.776289,0.015891936116389827,0.0012292100765291085,0.017121146192918935,6,0.09672150257373587
7,5.577002286911011,9.367422580718994,1715524764.5776947,0.011890190785999328,0.0010432811987504933,0.012933471984749822,7,0.06280164352714801
8,6.6162331104278564,10.405322790145874,1715524765.6155949,0.004826564471977029,0.0014845230798968927,0.0063110875518739215,8,0.04913023341956868
9,7.71627950668335,11.50542688369751,1715524766.715699,0.002059050341064114,0.0014187539629937327,0.0034778043040578467,9,0.010260059639060707
10,8.770944118499756,12.560152769088745,1715524767.7704248,0.0002615404248212624,0.0004440385736576306,0.000705578998478893,10,0.014255160377489607
11,10.194794654846191,13.983977794647217,1715524769.1942499,0.00020300961872559166,0.0002028642571651112,0.00040587387589070286,11,0.0110815605081318
12,11.106610774993896,14.895862340927124,1715524770.1061344,0.00011161122744930871,0.00016215640162766813,0.0002737676290769768,12,0.007516248675290007
13,12.230090856552124,16.01931595802307,1715524771.229588,5.825563289313849e-05,0.00016075111161955067,0.00021900674451268915,13,0.005207035039834749
