step,time,l2_error,loss_interior,loss,_step,_runtime,_timestamp,loss_boundary
0,37.51714587211609,0.5672768663242331,0.00025267566290999985,3.173703907627406,0,38.33968114852905,1723045700.548454,3.1734512319644956
1,74.66733884811401,0.5549700149367096,0.022804087133310242,0.4866407911507171,1,75.1462996006012,1723045737.3550725,0.4638367040174069
2,113.37901997566223,0.5440671395644314,0.020491186983616624,0.4605379544314837,2,113.8463294506073,1723045776.0551023,0.4400467674478671
3,149.8955578804016,0.5300806345549288,0.01797631512960627,0.44131199635451,3,150.36197638511658,1723045812.5707493,0.4233356812249037
4,186.7197344303131,0.4432813053051235,0.016254341289145994,0.3985399519237231,4,187.18575477600098,1723045849.3945277,0.3822856106345771
5,223.41519808769226,0.28733524612345834,0.025315814008864766,0.1755418522133466,5,223.88134860992432,1723045886.0901215,0.15022603820448183
6,260.041095495224,0.11974525178099073,0.010881557554835235,0.057921228853851835,6,260.50712060928345,1723045922.7158935,0.0470396712990166
7,296.7995138168335,0.055023249058921864,0.004246037926960147,0.013874829722376683,7,297.26573634147644,1723045959.4745092,0.009628791795416536
8,333.6610813140869,0.029736866040347962,0.0009757489784839965,0.0041511868768545805,8,334.12742161750793,1723045996.3361945,0.003175437898370584
9,370.3792517185211,0.019904219986338473,0.00028620575069481516,0.0015631027024217705,9,370.8454337120056,1723046033.0542066,0.0012768969517269553
10,407.22263860702515,0.013247662376162412,0.00015089014349451923,0.0007583592048273063,10,407.6888110637665,1723046069.897584,0.0006074690613327871
11,444.2610561847687,0.0028322208069363444,3.216768390056136e-05,0.0002014917302786114,11,444.72714853286743,1723046106.9359214,0.00016932404637805005
12,481.1794590950012,0.002478470478347974,4.186856376291406e-06,1.2788157440750212e-05,12,481.647118806839,1723046143.8558917,8.601301064458807e-06
13,517.995395898819,0.0016696956832589684,2.0088258658674747e-06,5.505293652408654e-06,13,518.4618756771088,1723046180.6706486,3.4964677865411797e-06
14,554.7934813499451,0.0014805176935464848,1.712335759607592e-06,4.9362711056043065e-06,14,555.2595977783203,1723046217.4683707,3.2239353459967146e-06
15,591.4441323280334,0.0011132891314526313,1.2911324115853713e-06,2.7087838273336277e-06,15,591.9102771282196,1723046254.11905,1.4176514157482565e-06
16,628.1414172649384,0.001070069853632228,1.3208382751116459e-06,2.399119020882701e-06,16,628.6080114841461,1723046290.8167844,1.0782807457710552e-06
17,664.8737094402313,0.0008922203837761694,6.870557503675974e-07,1.6374688245412346e-06,17,665.3397171497345,1723046327.54849,9.504130741736372e-07
18,701.6138854026794,0.0008695350825936735,5.516557147954676e-07,1.288145318561745e-06,18,702.079996585846,1723046364.2887695,7.364896037662773e-07
19,738.6257827281952,0.0006906609642365826,4.363237557580242e-07,1.0885768959606971e-06,19,739.0921292304993,1723046401.3009021,6.522531402026729e-07
20,775.1627879142761,0.0006481886600127896,4.3526415721334313e-07,8.749431259783926e-07,20,775.6290798187256,1723046437.8378527,4.396789687650495e-07
21,811.8581924438477,0.0005927121338877867,3.4548494857063333e-07,7.394897561231406e-07,21,812.3243606090546,1723046474.5331335,3.940048075525073e-07
22,848.6216051578522,0.000541941799798321,2.851081085018119e-07,6.496411082139037e-07,22,849.0877754688263,1723046511.2965484,3.6453299971209173e-07
23,885.362900018692,0.000533178134967214,3.610317362082815e-07,5.992539786685884e-07,23,885.8289670944214,1723046548.03774,2.382222424603069e-07
24,922.0071272850037,0.0004910948074895918,2.6948429606459295e-07,5.264781109175828e-07,24,922.4733936786652,1723046584.6821666,2.5699381485298986e-07
25,958.6957499980927,0.0004599699994501435,2.5821854099307587e-07,4.6788002552763246e-07,25,959.1620712280273,1723046621.3708441,2.096614845345566e-07
26,995.72922706604,0.0004708184964503399,2.0600155810092006e-07,4.1619427323614316e-07,26,996.2077775001526,1723046658.4165504,2.1019271513522307e-07
27,1034.553438425064,0.00040917540056578937,2.0167651239649402e-07,3.7740545988555106e-07,27,1035.019672870636,1723046697.2284458,1.7572894748905704e-07
28,1071.2507109642029,0.0003943096137763516,1.6284461697599748e-07,3.4862622700901867e-07,28,1071.7170174121857,1723046733.9257903,1.8578161003302116e-07
29,1107.848833322525,0.000402424761393943,1.5798684462353347e-07,2.972663457096674e-07,29,1108.3152148723602,1723046770.5239878,1.3927950108613394e-07
30,1145.1417288780212,0.00037504223981724453,1.570914411505476e-07,2.9654654376244887e-07,30,1145.6201059818268,1723046807.8288789,1.3945510261190129e-07
31,1184.3486669063568,0.0003593592642543401,1.3148109470732601e-07,2.5197020859115013e-07,31,1184.8271553516388,1723046847.0359282,1.2048911388382414e-07
32,1222.8232843875885,0.0003302930206872579,1.1737320169456298e-07,2.285375525432741e-07,32,1223.3018221855164,1723046885.510595,1.1116435084871109e-07
33,1261.504635334015,0.000350233423564973,1.2708437202586463e-07,2.2730731923657594e-07,33,1261.9708864688873,1723046924.1796594,1.0022294721071131e-07
34,1298.052577972412,0.0003099894259292379,1.230672714775742e-07,2.2564193479619623e-07,34,1298.5188782215118,1723046960.7276511,1.0257466331862203e-07
35,1334.7371611595154,0.00032931082837865623,1.1741636143478386e-07,1.9469322081989394e-07,35,1335.203462600708,1723046997.4122355,7.727685938511008e-08
36,1371.7142505645752,0.00027712735790091355,1.0647829875434623e-07,1.9280951034276682e-07,36,1372.1927607059479,1723047034.4015336,8.633121158842061e-08
37,1410.4980943202972,0.00027169399567147115,9.993631513725964e-08,1.7754588147475232e-07,37,1410.9643397331238,1723047073.1731126,7.760956633749266e-08
38,1447.111536026001,0.0002945609539153638,9.265070414740479e-08,1.523871432756365e-07,38,1447.5777633190155,1723047109.7865362,5.973643912823173e-08
39,1483.8977310657501,0.00028152452205358033,1.0605834831231849e-07,1.8433974102249424e-07,39,1484.3638751506805,1723047146.572648,7.828139271017575e-08
40,1520.6157701015472,0.0002774889457022935,9.201616468658435e-08,1.624078290898271e-07,40,1521.0823981761932,1723047183.291171,7.039166440324276e-08
42,1594.2957735061646,0.000261009962312319,7.85937153607282e-08,1.345361330582809e-07,41,1594.762109041214,1723047256.970882,5.59424176975527e-08
46,1741.693368434906,0.00025102040016494027,7.042847391060568e-08,1.144803986400935e-07,42,1742.1595916748047,1723047404.3683646,4.4051924729487815e-08
50,1888.7368173599243,0.0001969947839272883,6.077985204417144e-08,1.0994669429165203e-07,43,1889.2031116485596,1723047551.4118845,4.9166842247480576e-08
55,2074.730941057205,0.00020519576097102654,5.4698278483087084e-08,9.222314199216678e-08,44,2075.197227716446,1723047737.4060006,3.7524863509079685e-08
61,2299.70845079422,0.0001670214940916546,5.397956209083257e-08,8.839869617650261e-08,45,2300.1746969223022,1723047962.3834698,3.4419134085670046e-08
67,2520.9197585582733,0.00016462611291169472,5.171317224153588e-08,7.560949797036666e-08,46,2521.386045694351,1723048183.5948186,2.3896325728830782e-08
73,2744.6453835964203,0.00016394436200298113,3.68762420524132e-08,5.5781968607690585e-08,47,2745.112185716629,1723048407.3209586,1.890572655527739e-08
80,3004.1038358211517,0.00015064560180730674,3.25347588824368e-08,5.666458114511047e-08,48,3004.5709035396576,1723048666.7796764,2.4129822262673666e-08
