step,loss_interior,_step,_runtime,_timestamp,loss,l2_error,loss_boundary,time
0,2.4847066967012313e-05,0,37.69489073753357,1723045709.9378288,2.992959675888267,0.5787116661043334,2.9929348288213,36.87227272987366
1,0.038427633960810934,1,73.02277827262878,1723045745.2657163,0.49492414979448823,0.5247609497870943,0.4564965158336773,72.58202385902405
2,0.026692331439483297,2,108.97555422782898,1723045781.2184923,0.4150018146282209,0.4823725676501755,0.3883094831887376,108.53509426116943
3,0.02114295272378656,3,145.5276482105255,1723045817.7705863,0.3266637694510983,0.25901426466029,0.30552081672731174,145.08692383766174
4,0.00395528979894277,4,183.2909619808197,1723045855.5339,0.09036487311319778,0.03390136851673104,0.08640958331425501,182.85019779205322
5,0.001137411497324354,5,220.29599785804749,1723045892.538936,0.0017305516468530987,0.013551266989368132,0.0005931401495287447,219.85552978515625
6,0.0001085113237727249,6,257.0903239250183,1723045929.333262,0.00022174872334616716,0.0060194073686536485,0.00011323739957344225,256.6483151912689
7,3.8313657791672915e-05,7,293.99608039855957,1723045966.2390184,6.976669293241357e-05,0.004629272612668794,3.1453035140740644e-05,293.55551385879517
8,1.2731832612933656e-05,8,330.84936141967773,1723046003.0922995,2.3281552905317016e-05,0.0017473626202654676,1.054972029238336e-05,330.4087653160095
9,3.190020624702541e-06,9,367.75222539901733,1723046039.9951634,6.934846720888844e-06,0.0017731804264131015,3.7448260961863027e-06,367.31187629699707
10,2.4068970680801375e-06,10,404.7653474807739,1723046077.0082855,4.636257885019799e-06,0.0013904054478039523,2.2293608169396614e-06,404.32463097572327
11,2.1820498723966152e-06,11,441.5222749710083,1723046113.765213,3.603238416684031e-06,0.0011454940475715504,1.4211885442874159e-06,441.0817835330963
12,1.0825640813010519e-06,12,478.3278341293335,1723046150.5707722,2.335701681473046e-06,0.001080295558174125,1.2531376001719938e-06,477.887371301651
13,1.1346880916353162e-06,13,514.8879673480988,1723046187.1309054,2.03304655658254e-06,0.0009819232335219774,8.983584649472236e-07,514.4474868774414
14,7.658407260065231e-07,14,551.5390181541443,1723046223.7819562,1.8247216005818228e-06,0.0008404875373432232,1.0588808745752997e-06,551.0983741283417
15,8.256729556532133e-07,15,588.1067295074463,1723046260.3496675,1.4023028331038108e-06,0.000750643730563514,5.766298774505976e-07,587.666383266449
16,6.485633601185859e-07,16,624.7563052177429,1723046296.9992433,1.1035792697259225e-06,0.0007132332500843306,4.550159096073367e-07,624.3157150745392
17,4.5522495408549415e-07,17,661.5792000293732,1723046333.822138,9.313227035694358e-07,0.0006563799169979764,4.760977494839416e-07,661.1379041671753
18,4.740302735386764e-07,18,698.4459006786346,1723046370.6888387,9.346448123723905e-07,0.000624272066982877,4.6061453883371414e-07,698.0052962303162
19,3.891272224162779e-07,19,735.1910169124603,1723046407.433955,7.294850456412452e-07,0.0005689541496450456,3.4035782322496724e-07,734.750542640686
20,3.649556903088706e-07,20,771.8820996284485,1723046444.1250377,7.03309999328315e-07,0.0005421293854356646,3.383543090194444e-07,771.4415533542633
21,3.278199150662003e-07,21,808.4764134883881,1723046480.7193515,5.70730755867924e-07,0.0004996833551812321,2.429108408017237e-07,808.0357847213745
22,2.7957302787958223e-07,22,845.1004164218903,1723046517.3433545,4.887527004236332e-07,0.0004973026203136993,2.0917967254405098e-07,844.6600046157837
23,3.347100647319974e-07,23,881.8608732223511,1723046554.1038113,5.648967082204621e-07,0.00045847754272909967,2.301866434884648e-07,881.4203777313232
24,2.646227330783691e-07,24,918.7526612281799,1723046590.9955993,5.059713938438482e-07,0.0004579213802157125,2.413486607654791e-07,918.3120908737183
25,2.592724360199014e-07,25,955.6666555404663,1723046627.9095936,4.4115191358442505e-07,0.0003924647532329492,1.8187947756452366e-07,955.2259912490845
