loss,step,time,_step,_runtime,_timestamp,l2_error,loss_boundary,loss_interior
2.394158178271784,0,38.41701006889343,0,39.26051044464111,1723045715.3184276,1.6355991788612758,2.3941474858584644,1.0692413319824011e-05
2.375996330939234,1,76.24584674835205,1,76.66925549507141,1723045752.7271726,1.1047802415088013,2.3705942385767114,0.005402092362522839
1.4772593143564907,2,113.95812606811523,2,114.38191246986389,1723045790.4398296,0.6409330803099555,1.3146764540508167,0.16258286030567398
0.7702370191194704,3,151.9342200756073,3,152.35802555084229,1723045828.4159427,0.32402324742324423,0.2633084819153737,0.5069285372040967
0.17827849293225484,4,189.9225616455078,4,190.34622478485107,1723045866.404142,0.21499751838252165,0.09004377281257314,0.0882347201196817
0.08883603079045985,5,227.46232914924622,5,227.88607001304626,1723045903.9439871,0.07943482869371432,0.044555530310556334,0.04428050047990352
0.014674974465952177,6,265.3645193576813,6,265.7882647514343,1723045941.8461819,0.014837141474378117,0.006170162210079244,0.008504812255872933
0.0009264263321019889,7,303.54203510284424,7,303.96588826179504,1723045980.0238054,0.010095401342330942,0.0003220904219453522,0.0006043359101566366
0.0004579548678799755,8,341.4432153701782,8,341.86707949638367,1723046017.9249966,0.0064905387855387605,0.00016142070557146417,0.00029653416230851135
0.00013895764544223478,9,379.62233805656433,9,380.04624581336975,1723046056.104163,0.007875460654027456,4.56018585238394e-05,9.335578691839537e-05
3.6512738846420316e-05,10,417.5779161453247,10,418.0019655227661,1723046094.0598826,0.0015836729479219974,3.166649722671409e-05,4.8462416197062245e-06
5.143140923681428e-06,11,456.03654313087463,11,456.4603886604309,1723046132.5183058,0.001438158189332639,2.268658368823781e-06,2.874482554857647e-06
3.948887533493026e-06,12,493.89752411842346,12,494.32130217552185,1723046170.3792193,0.0013318280542539836,2.0144563629081623e-06,1.934431170584864e-06
2.770089460149704e-06,13,531.7084510326385,13,532.1324315071106,1723046208.1903486,0.001041009720543169,1.47967558521672e-06,1.2904138749329842e-06
2.1927411251548463e-06,14,569.4245071411133,14,569.8487207889557,1723046245.906638,0.0009868930553130846,1.087215420619641e-06,1.105525704535205e-06
1.966388569785536e-06,15,607.446417093277,15,607.8701608181,1723046283.928078,0.0008379899863896658,8.056962005282291e-07,1.1606923692573071e-06
1.3876872172145898e-06,16,645.4568161964417,16,645.8808081150055,1723046321.9387252,0.0008203122078481558,6.093845166139198e-07,7.783027006006699e-07
1.4939599552674707e-06,17,683.4245753288269,17,683.8484897613525,1723046359.9064069,0.0008957128149764711,7.119954462456324e-07,7.819645090218384e-07
1.1170786487313366e-06,18,721.3136372566223,18,721.7375762462616,1723046397.7954934,0.0006169893329731405,5.064820633415353e-07,6.105965853898013e-07
7.66506637734324e-07,19,759.2570853233337,19,759.6810686588287,1723046435.7389858,0.0006167655724226084,2.7704905346381085e-07,4.894575842705132e-07
7.19091656323584e-07,20,797.0449531078339,20,797.4687864780426,1723046473.5267036,0.0005611957254702179,2.9929838705339295e-07,4.1979326927019104e-07
6.585747467324394e-07,21,834.6330935955048,21,835.056886434555,1723046511.1148036,0.0004875476443585219,2.6344075124497586e-07,3.951339954874635e-07
5.510158501485969e-07,22,872.4421212673187,22,872.866021156311,1723046548.9239383,0.0004575444350513328,2.0873205492368866e-07,3.422837952249082e-07
5.31599419967058e-07,23,910.3923139572144,23,910.8163945674896,1723046586.8743117,0.0004856536682773998,2.022660027601907e-07,3.293334172068672e-07
5.0653700853472e-07,24,948.2135384082794,24,948.6372225284576,1723046624.6951396,0.0004241376436257908,2.1017770706651672e-07,2.963593014682032e-07
4.3160830286535964e-07,25,986.1650705337524,25,986.5890421867371,1723046662.6469593,0.000406909741222204,1.729778473356618e-07,2.5863045552969787e-07
4.0407921071389795e-07,26,1023.9947605133057,26,1024.4186279773712,1723046700.476545,0.0004035474893600855,1.679950438443825e-07,2.3608416686951543e-07
3.7277164111609713e-07,27,1061.7178373336792,27,1062.1418437957764,1723046738.199761,0.0003537290354271295,1.167039226898587e-07,2.5606771842623844e-07
3.7460831823739123e-07,28,1099.591492652893,28,1100.0154445171356,1723046776.0733616,0.0003656442989306959,1.462858602052547e-07,2.283224580321365e-07
3.151414866025175e-07,29,1137.4752578735352,29,1137.8990528583527,1723046813.95697,0.0004031482106735779,1.2446731487941102e-07,1.9067417172310646e-07
3.54293360257733e-07,30,1174.97980093956,30,1175.4037430286407,1723046851.4616601,0.00033037718487493906,1.1238554034990319e-07,2.419078199078298e-07
3.137309911466455e-07,31,1212.6076400279999,31,1213.0315306186676,1723046889.0894477,0.00031410775731634624,1.1244630172783862e-07,2.0128468941880684e-07
2.460642623067339e-07,32,1250.5170760154724,32,1250.941153049469,1723046926.9990702,0.00029232206949946567,7.83157704221137e-08,1.6774849188462018e-07
2.5286177057019443e-07,33,1288.2165231704712,33,1288.6403229236603,1723046964.69824,0.0002873227149681767,9.661233387834164e-08,1.5624943669185278e-07
2.2424984319541794e-07,34,1325.6713292598724,34,1326.0951793193817,1723047002.1530964,0.00031667923929633404,8.017583770821611e-08,1.4407400548720183e-07
2.6875398361487447e-07,35,1363.5537109375,35,1363.9777941703796,1723047040.0357113,0.0003364445072157954,9.522039008640321e-08,1.7353359352847124e-07
2.6808757786677026e-07,36,1401.4607405662537,36,1401.884617805481,1723047077.942535,0.0002814890191802002,8.434393893524311e-08,1.8374363893152715e-07
2.0018290850590758e-07,37,1439.0089268684387,37,1439.4331257343292,1723047115.4910429,0.0002643854521560792,6.18510002998589e-08,1.3833190820604866e-07
2.0539456458797748e-07,38,1476.7385668754578,38,1477.1623916625977,1723047153.2203088,0.0002509071923381183,7.046250611434759e-08,1.3493205847362989e-07
1.719093383315737e-07,39,1514.7697372436523,39,1515.1937980651855,1723047191.2517152,0.0002823279089976371,6.12886218883476e-08,1.1062071644322611e-07
1.944729924639559e-07,40,1552.571016073227,40,1552.9950034618378,1723047229.0529206,0.0002958831768298128,6.699623451699698e-08,1.2747675794695892e-07
1.431630709572578e-07,42,1627.898442029953,41,1628.3223822116852,1723047304.3802993,0.00022618254433760078,4.543841229914635e-08,9.772465865811145e-08
