_step,loss_boundary,loss_interior,loss,_runtime,_timestamp,time,step,l2_error
0,2.639374320335948,2.2510704673150684e-06,2.6393765714064155,2.0793840885162354,1723045698.1348372,1.3888208866119385,0,1.8098643658807945
1,2.639368323447988,2.25104122246499e-06,2.6393705744892104,2.2031760215759277,1723045698.258629,1.73915696144104,1,0.7650242288355723
2,0.340567740492266,0.001806661542156921,0.34237440203442293,2.3097519874572754,1723045698.365205,1.846470832824707,2,0.6253908219819448
3,0.26908460782489396,0.04563478488874125,0.3147193927136352,2.4075753688812256,1723045698.4630284,1.9441273212432861,3,0.7279483499354407
4,0.24548205299829778,0.03995554063236143,0.28543759363065924,2.5087289810180664,1723045698.564182,2.045422315597534,4,0.6177547002546275
5,0.2024857171422605,0.010514317448098266,0.21300003459035877,2.6065473556518555,1723045698.6620004,2.1432738304138184,5,0.6028959180495381
6,0.16357812863451163,0.023281824381953527,0.18685995301646516,2.7043774127960205,1723045698.7598305,2.240750312805176,6,0.4708167258105044
7,0.15621109649737627,0.021749817904774857,0.17796091440215112,2.802751064300537,1723045698.8582041,2.3391027450561523,7,0.5238524785952984
8,0.1531454280302769,0.009771769567966819,0.16291719759824372,2.904831886291504,1723045698.960285,2.44107723236084,8,0.563979525234409
9,0.14575550798769632,0.012242270437032497,0.1579977784247288,3.004720687866211,1723045699.0601737,2.5398080348968506,9,0.5124409810285374
10,0.13379283689523586,0.020097248969311338,0.1538900858645472,3.1024892330169678,1723045699.1579423,2.639025926589966,10,0.5467004799709843
11,0.1376245246531065,0.013418974877254844,0.15104349953036136,3.2005386352539062,1723045699.2559917,2.736983060836792,11,0.5141258227077914
12,0.1370766153515641,0.012152361431170757,0.14922897678273486,3.30094051361084,1723045699.3563936,2.8373916149139404,12,0.5423805191816529
13,0.13438794102304832,0.00687156169709318,0.1412595027201415,3.3990986347198486,1723045699.4545517,2.9355006217956543,13,0.487676223100967
14,0.12080668226877554,0.01330121949872,0.13410790176749554,3.498671054840088,1723045699.554124,3.0350654125213623,14,0.5148143171565018
15,0.11847028785052943,0.013825222576620643,0.13229551042715007,3.5970330238342285,1723045699.652486,3.1333744525909424,15,0.4373251024615079
16,0.10134280080558745,0.023867842299276767,0.1252106431048642,3.6983885765075684,1723045699.7538416,3.2346982955932617,16,0.4599095878279267
17,0.1005871027442514,0.02254294979540883,0.12313005253966022,3.797342300415039,1723045699.8527954,3.3334908485412598,17,0.4027426119266267
18,0.0945202451604481,0.02320650591531889,0.117726751075767,3.8979415893554688,1723045699.9533947,3.4342544078826904,18,0.41896307006137473
19,0.08534294713378904,0.025989665617730195,0.11133261275151923,3.996439218521118,1723045700.0518923,3.5327627658843994,19,0.38610675828529917
20,0.08100787105419933,0.028130894417137686,0.10913876547133702,4.094376087188721,1723045700.1498291,3.6307175159454346,20,0.39673567102371154
21,0.07313972882986307,0.016308985936223274,0.08944871476608635,4.192874193191528,1723045700.2483273,3.729269504547119,21,0.33770770634202346
22,0.06185075696165404,0.018851141671228908,0.08070189863288295,4.290961503982544,1723045700.3464146,3.8273372650146484,22,0.32546919392729456
23,0.05034385603341682,0.01711584114938402,0.06745969718280084,4.388972759246826,1723045700.4444258,3.9253644943237305,23,0.28516690035591635
24,0.04754922720257904,0.01764606026115088,0.06519528746372992,4.488132953643799,1723045700.543586,4.024515390396118,24,0.2641390371442116
25,0.045994846831050144,0.014792196341064134,0.06078704317211428,4.585853576660156,1723045700.6413066,4.1222498416900635,25,0.24127703609796813
26,0.044632714056470006,0.014850813181079616,0.05948352723754962,4.685620307922363,1723045700.7410734,4.221878528594971,26,0.2481031303704067
27,0.04369417602302541,0.012555838981465605,0.05625001500449101,4.783746004104614,1723045700.839199,4.32008957862854,27,0.2024238090913853
28,0.04053859401157499,0.012327035974119563,0.05286562998569455,4.884233236312866,1723045700.9396863,4.420519828796387,28,0.21184552449634153
29,0.036928181211986114,0.013091784920079978,0.05001996613206609,4.983143329620361,1723045701.0385964,4.51946496963501,29,0.19145816195431067
30,0.03190293042321205,0.014160084980318942,0.04606301540353099,5.087954044342041,1723045701.143407,4.624138116836548,30,0.1924494338441369
31,0.029306210845541223,0.015110744158120415,0.044416955003661635,5.186604261398315,1723045701.2420573,4.722959041595459,31,0.18520850866989885
32,0.027633096520895906,0.015241706617836215,0.04287480313873212,5.285153388977051,1723045701.3406065,4.821513891220093,32,0.19657355402170468
33,0.023968500799494898,0.01639027164197411,0.04035877244146901,5.38394570350647,1723045701.4393988,4.9202611446380615,33,0.18346612646555782
34,0.021398633281630174,0.016751512694237403,0.03815014597586758,5.482911109924316,1723045701.5383642,5.019116163253784,34,0.18657122541882248
35,0.019661203840666032,0.016941497444884396,0.03660270128555043,5.581823348999023,1723045701.6372764,5.118098020553589,35,0.18655788722033984
36,0.01886812583780222,0.016074457700895165,0.034942583538697385,5.6833930015563965,1723045701.738846,5.219455718994141,36,0.18661709676502128
37,0.01976334613685587,0.013004904819994934,0.032768250956850806,5.782063961029053,1723045701.837517,5.318397760391235,37,0.17899958655743212
38,0.01962098573018111,0.01204346885763932,0.03166445458782043,5.880668878555298,1723045701.936122,5.4170050621032715,38,0.2036103857180572
39,0.020459661408365932,0.009875690666723641,0.030335352075089573,5.979572772979736,1723045702.0350258,5.515874147415161,39,0.19339564502102227
40,0.021316241169212064,0.007817895568614366,0.02913413673782643,6.078705310821533,1723045702.1341584,5.614898443222046,40,0.20792858714978987
41,0.02028041192836089,0.006280057097614578,0.026560469025975468,6.273604154586792,1723045702.3290572,5.8098533153533936,42,0.20519087185650267
42,0.015621895538406236,0.007638114241184136,0.023260009779590373,6.657997369766235,1723045702.7134504,6.194143772125244,46,0.14998741585746062
43,0.01409566336962005,0.005086456475598316,0.019182119845218365,7.039633512496948,1723045703.0950866,6.57593035697937,50,0.12677239211482316
44,0.008624071215560462,0.005050935806267113,0.013675007021827576,7.515798807144165,1723045703.5712519,7.052094221115112,55,0.11116754686017884
45,0.006778320462881252,0.002373436274141893,0.009151756737023144,8.095250368118286,1723045704.1507034,7.631325721740723,61,0.10969930335452041
46,0.0041617194188950215,0.0021678017770515885,0.00632952119594661,8.672955989837646,1723045704.728409,8.20889925956726,67,0.06775137538001874
47,0.0022924031211542122,0.0019848870967176216,0.004277290217871834,9.24750304222107,1723045705.302956,8.783756256103516,73,0.07083853638967863
48,0.001494024515389242,0.0013671391951904518,0.002861163710579694,10.009239673614502,1723045706.0646927,9.545431852340698,81,0.0460458664932664
49,0.0010623064137599213,0.001000680946558791,0.0020629873603187124,10.77078914642334,1723045706.8262422,10.307018280029297,89,0.04205420887074402
50,0.0007848324493270781,0.0005540854610059189,0.0013389179103329971,11.635027170181274,1723045707.6904802,11.171105146408081,98,0.033035422263006965
51,0.0006615233935573614,0.0002852194736883424,0.0009467428672457038,12.498412370681763,1723045708.5538654,12.034387111663818,107,0.025895655812538915
52,0.0005688733152236218,0.00017902818902726126,0.000747901504250883,13.545130252838135,1723045709.6005833,13.081403255462646,118,0.023494664320259376
53,0.00045148151961253984,0.00010994896026420101,0.0005614304798767409,14.68448781967163,1723045710.739941,14.220776557922363,130,0.02259088713758251
54,0.00036438069533226803,7.122087830874997e-05,0.000435601573641018,15.942827701568604,1723045711.9982808,15.478962421417236,143,0.020881829884461904
55,0.0002656890870573906,7.015694070644187e-05,0.00033584602776383246,17.27749276161194,1723045713.3329458,16.813745498657227,157,0.017999024556993565
56,0.00018405394450674625,6.497193986632253e-05,0.00024902588437306875,18.706777095794678,1723045714.7622302,18.24272656440735,172,0.01603077376536707
57,0.00011955877498538259,4.6675862132892376e-05,0.00016623463711827496,20.420328378677368,1723045716.4757814,19.956573486328125,190,0.01362737494262894
58,9.02807140070127e-05,2.7312232547243386e-05,0.00011759294655425609,22.13652014732361,1723045718.1919732,21.67274284362793,208,0.011625105300133273
59,5.573238632664439e-05,1.7799967235991862e-05,7.353235356263625e-05,24.142425537109375,1723045720.1978786,23.678396940231323,229,0.009893637699218463
60,3.8366434573539174e-05,1.406985037313557e-05,5.2436284946674746e-05,26.3334743976593,1723045722.3889275,25.869421243667603,252,0.008804681086693569
61,2.522051533163129e-05,1.1807588498419137e-05,3.7028103830050425e-05,28.721914768218994,1723045724.7773678,28.25796890258789,277,0.007193289506790769
62,2.2768749000802335e-05,1.0620431676728307e-05,3.3389180677530644e-05,31.40902614593506,1723045727.4644792,30.945035696029663,305,0.006285175915029024
63,1.0079547195285863e-05,5.302762399943236e-06,1.5382309595229098e-05,34.27131414413452,1723045730.3267672,33.80748152732849,335,0.00462230572276977
64,3.464414737592326e-06,2.9509939604005224e-06,6.415408697992848e-06,37.511635303497314,1723045733.5670884,37.04758358001709,369,0.002985366073335777
65,1.961587139170366e-06,1.6988908249360145e-06,3.6604779641063806e-06,41.040111780166626,1723045737.0955648,40.57624697685242,406,0.00168570662644654
66,5.663967284206951e-07,5.934519896826439e-07,1.159848718103339e-06,44.850095987319946,1723045740.905549,44.386191606521606,446,0.0011064198507271064
67,2.2519784965509005e-07,2.8922736001287507e-07,5.144252096679651e-07,49.144596576690674,1723045745.2000496,48.680729150772095,491,0.0007966628842217523
68,1.3106012977491198e-07,1.6751205552883e-07,2.98572185303742e-07,53.807432413101196,1723045749.8628855,53.34354090690613,540,0.0005723974782797615
69,3.68094698419606e-08,7.287882935014767e-08,1.0968829919210827e-07,58.96185064315796,1723045755.0173037,58.49770402908325,594,0.00039604732620173534
70,2.858170116466289e-08,5.8406147836423275e-08,8.698784900108617e-08,64.57283568382263,1723045760.6282887,64.10902810096741,653,0.0003082233373745292
71,2.676951132511343e-08,4.605015180527045e-08,7.281966313038388e-08,70.78051400184631,1723045766.835967,70.31641173362732,718,0.00023344396275894077
72,6.037599271248699e-09,1.8303438456736466e-08,2.4341037727985164e-08,77.62209701538086,1723045773.67755,77.1582567691803,790,0.00019561421253093536
