step,time,_step,_timestamp,_runtime,l2_error,loss_interior,loss,loss_boundary
0,1.2396457195281982,0,1723045653.4849734,2.86240553855896,0.6320383997979196,0.001954453830865279,3.2637517556093116,3.2617973017784463
1,1.811096429824829,1,1723045653.7929485,3.1703805923461914,0.5483581419121518,0.013139349188914597,0.2687046484718796,0.255565299282965
2,2.161491870880127,2,1723045654.143635,3.5210671424865723,0.41184076670388947,0.018765576051902686,0.19031658690399844,0.17155101085209576
3,2.551971435546875,3,1723045654.5340393,3.911471366882324,0.2843224001449161,0.013241677297588137,0.10802453069873237,0.09478285340114423
4,2.9794275760650635,4,1723045654.9614038,4.338835954666138,0.2027118140767941,0.015820028299199734,0.05600753416317116,0.04018750586397143
5,3.4468753337860107,5,1723045655.428795,4.806227207183838,19471899885.64988,0.009326213838720794,0.03941799006803856,0.030091776229317767
6,3.955781936645508,6,1723045655.9376056,5.315037727355957,4867214064.493635,0.0,1.268181004641669e+20,1.268181004641669e+20
7,4.498805999755859,7,1723045656.4807043,5.858136415481567,4065662948.4252524,0.0,8.523990638548165e+18,8.523990638548165e+18
8,5.079566240310669,8,1723045657.0614495,6.4388816356658936,264936859.7339181,0.0,1.3425557368854841e+19,1.3425557368854841e+19
9,5.698166608810425,9,1723045657.6801202,7.057552337646484,191532457.27215183,0.0,3.758140091216005e+16,3.758140091216005e+16
10,6.355975389480591,10,1723045658.3378303,7.715262413024902,277111899.1588125,0.0,2.1739128174245884e+16,2.1739128174245884e+16
11,7.054649829864502,11,1723045659.036479,8.41391110420227,694942738800.9427,0.0,3.35607470887749e+16,3.35607470887749e+16
12,7.764071702957153,12,1723045659.7474465,9.124878644943237,176733877044.45956,0.0,4.187643928935316e+23,4.187643928935316e+23
13,8.485909223556519,13,1723045660.4678996,9.84533166885376,324939186270.90076,0.0,3.959888747632522e+22,3.959888747632522e+22
14,9.207442998886108,14,1723045661.1892552,10.56668734550476,1163845309972.52,0.0,1.6310282666797224e+23,1.6310282666797224e+23
15,9.926002264022827,15,1723045661.9078517,11.28528380393982,1626441319233.4988,0.0,5.953259428714465e+23,5.953259428714465e+23
16,10.626729249954224,16,1723045662.608635,11.986067056655884,440165256645.5563,0.0,1.2656971720724484e+24,1.2656971720724484e+24
17,11.334885597229004,17,1723045663.316934,12.694366216659546,569798250269.0208,0.0,1.0286778024079769e+23,1.0286778024079769e+23
18,12.040257930755615,18,1723045664.022079,13.399511098861694,835011723579.8539,0.0,1.702572894546994e+23,1.702572894546994e+23
19,12.741795539855957,19,1723045664.723626,14.101058006286621,530547428759.73676,0.0,3.731483093415328e+23,3.731483093415328e+23
20,13.449084997177124,20,1723045665.431016,14.808448076248169,336587766608.0174,0.0,1.3621325854235501e+23,1.3621325854235501e+23
21,14.153038740158081,21,1723045666.1349351,15.512367248535156,3834679709792.8594,0.0,5.469705381255235e+22,5.469705381255235e+22
22,14.85035514831543,22,1723045666.8322122,16.209644317626953,698267172828.7924,0.0,7.793512799187911e+24,7.793512799187911e+24
23,15.55444049835205,23,1723045667.5362926,16.913724660873413,3187017682796.62,0.0,4.643176110228052e+23,4.643176110228052e+23
24,16.261432647705078,24,1723045668.2432659,17.62069797515869,1136720531261.3022,0.0,4.129328473646315e+24,4.129328473646315e+24
25,16.965453624725342,25,1723045668.9472952,18.324727296829224,730200424110.2415,0.0,7.134911597087563e+23,7.134911597087563e+23
26,17.668067693710327,26,1723045669.6499012,19.02733325958252,1314459798204.7195,0.0,2.8048463210048525e+23,2.8048463210048525e+23
27,18.371180772781372,27,1723045670.353048,19.730480194091797,1011861743328.0453,0.0,9.276334946431948e+23,9.276334946431948e+23
28,19.07201647758484,28,1723045671.0538628,20.431294918060303,1011483801306.5911,0.0,6.345033830063145e+23,6.345033830063145e+23
29,19.77898859977722,29,1723045671.760818,21.13825011253357,2851872828505.5635,0.0,7.074349173653709e+23,7.074349173653709e+23
30,20.489023208618164,30,1723045672.4708872,21.84831929206848,1178870961859.8867,0.0,3.007305816232954e+24,3.007305816232954e+24
31,21.18965792655945,31,1723045673.171503,22.548935174942017,1953260648180.4963,0.0,8.940730796678604e+23,8.940730796678604e+23
32,21.895257472991943,32,1723045673.8770995,23.254531621932983,910643791030.0131,0.0,2.2079184504990323e+24,2.2079184504990323e+24
33,22.600789785385132,33,1723045674.5826943,23.960126399993896,1073067173161.7562,0.0,4.487414555560163e+23,4.487414555560163e+23
34,23.303874969482422,34,1723045675.285789,24.66322112083435,2178700733088.795,0.0,1.2209446543498975e+24,1.2209446543498975e+24
35,24.008819103240967,35,1723045675.9907758,25.368207931518555,632087552833.5535,0.0,2.026386734145723e+24,2.026386734145723e+24
36,24.715368032455444,36,1723045676.6971824,26.07461452484131,3927819485851.652,0.0,3.0061176939977503e+23,3.0061176939977503e+23
37,25.419936418533325,37,1723045677.4017825,26.77921462059021,204154407804.5477,0.0,7.189659654990169e+24,7.189659654990169e+24
38,26.12862253189087,38,1723045678.1104605,27.487892627716064,1523424868104.4324,0.0,2.4527036386550185e+22,2.4527036386550185e+22
39,26.828115224838257,39,1723045678.8099387,28.187370777130127,2226960913336.343,0.0,8.800245579690262e+23,8.800245579690262e+23
40,27.533461809158325,40,1723045679.5154068,28.892838954925537,1145816841591.3533,0.0,1.852702610731138e+24,1.852702610731138e+24
42,28.954652547836304,41,1723045680.936554,30.31398606300354,882063222199.3584,0.0,2.0052874511647936e+23,2.0052874511647936e+23
46,31.773566722869873,42,1723045683.755598,33.13303017616272,595510527070.413,0.0,8.63783405882785e+23,8.63783405882785e+23
50,34.59289193153381,43,1723045686.574712,35.952144145965576,1876094290321221.2,0.0,1.3667490043702888e+29,1.3667490043702888e+29
55,38.146599769592285,44,1723045690.1285756,39.5060076713562,158420399291179.53,0.0,5.024153575404801e+27,5.024153575404801e+27
61,42.451703786849976,45,1723045694.4347405,43.812172651290894,15029695763278.938,0.0,4.8679636800239866e+27,4.8679636800239866e+27
67,46.740060567855835,46,1723045698.7218835,48.09931564331055,2997647507546.646,0.0,1.3185642444746373e+21,1.3185642444746373e+21
73,50.965691804885864,47,1723045702.9475734,52.325005531311035,5213125436.845614,0.0,3.321645892726057e+21,3.321645892726057e+21
81,56.598060607910156,48,1723045708.579898,57.95733022689819,21086739.830998965,0.0,4.2018269627406056e+16,4.2018269627406056e+16
89,62.207748889923096,49,1723045714.189652,63.567084074020386,2893538744577.1523,0.0,1.6266842245626683e+18,1.6266842245626683e+18
98,68.50930428504944,50,1723045720.4913628,69.8687949180603,7566530954862.097,0.0,3.309978729780521e+20,3.309978729780521e+20
107,74.82336926460266,51,1723045726.805298,76.1827301979065,1.2435805578675552e+17,0.0,1.2751455727388585e+35,1.2751455727388585e+35
118,82.50100541114807,52,1723045734.4828649,83.86029696464539,2.0775777712324342e+18,0.0,2.137303410740591e+35,2.137303410740591e+35
130,90.86741948127747,53,1723045742.8492444,92.22667646408081,3.3318619994038944e+17,0.0,3.3158644096661957e+34,3.3158644096661957e+34
143,99.95355582237244,54,1723045751.935405,101.31283712387085,3.466623859440511e+17,0.0,1.7990794584265973e+34,1.7990794584265973e+34
157,109.77583909034729,55,1723045761.7577255,111.13515758514404,1.7958550216821424e+16,0.0,2.3999844113404195e+32,2.3999844113404195e+32
172,120.29238510131836,56,1723045772.2744913,121.65192341804504,1154.8027599710424,0.0,56986074.338126376,56986074.338126376
190,121.63403844833374,57,1723045773.6158717,122.99330377578735,76.47315964296118,0.0,2101.0661555596516,2101.0661555596516
208,123.05028581619263,58,1723045775.0321317,124.40956377983093,169.79167009142998,0.0,15105.69865893719,15105.69865893719
229,124.71043562889099,59,1723045776.692262,126.06969404220581,9.81210698989975,0.0,53.24024662569217,53.24024662569217
252,126.92464590072632,60,1723045778.906534,128.28396606445312,136.51382809778667,0.0,9450.893515624346,9450.893515624346
277,129.21537351608276,61,1723045781.1971838,130.57461595535278,70.18095159580162,0.0,2252.4111132503226,2252.4111132503226
305,130.654066324234,62,1723045782.6358745,132.01330661773682,70.18095159580162,0.0,2122.219399066132,2122.219399066132
335,133.19432377815247,63,1723045785.1761405,134.55357265472412,630.1146307284821,0.0,298852.3335219879,298852.3335219879
369,147.2873158454895,64,1723045799.26915,148.64658212661743,502.6393984954171,0.0,270789.2205206876,270789.2205206876
406,155.27137207984924,65,1723045807.2535357,156.6309678554535,564.69764886585,0.0,133179.95776187064,133179.95776187064
446,159.45370507240295,66,1723045811.435915,160.81334710121155,203.46128380733563,0.0,13721.496722384374,13721.496722384374
491,163.54062128067017,67,1723045815.5228066,164.9002387523651,116.24247241685667,0.0,6850.383522714069,6850.383522714069
540,168.66947293281555,68,1723045820.6513782,170.02881026268005,268.89654461913113,0.0,142888.98377283537,142888.98377283537
594,173.38553857803345,69,1723045825.367694,174.74512600898743,328.5060579125261,0.0,54611.375640976585,54611.375640976585
653,178.5409324169159,70,1723045830.5227816,179.9002137184143,6.243722022613096,0.0,16.937895184482244,16.937895184482244
718,185.99169731140137,71,1723045837.9735894,187.35102152824402,289.7911516490433,0.0,201112.57785653073,201112.57785653073
790,192.4916591644287,72,1723045844.4738004,193.85123252868652,86.21204770951555,0.0,1809.5907856197498,1809.5907856197498
869,198.0443890094757,73,1723045850.0262277,199.40365982055664,137.47215215480423,0.0,6620.639786495747,6620.639786495747
956,213.6615207195282,74,1723045865.6433926,215.02082467079163,2016.510525749338,0.0,1372645.0958055775,1372645.0958055775
1052,228.9989354610443,75,1723045880.981072,230.35850405693054,791.2180125931128,0.0,1671905.9497010612,1671905.9497010612
1157,248.7751932144165,76,1723045900.7570102,250.13444232940674,1774.3311069889276,0.0,770184.3740791699,770184.3740791699
1272,257.66674852371216,77,1723045909.6485882,259.0260202884674,1860.419519865266,0.0,1327562.7850746552,1327562.7850746552
1400,303.23297238349915,78,1723045955.2150824,304.5925145149231,4.925562465968481e+22,0.0,8.664086231217802e+44,8.664086231217802e+44
