l2_error,loss_boundary,loss_interior,_runtime,loss,step,time,_step,_timestamp
0.6168070559730435,2.515194173220324,0.00033220436291789117,2.809046506881714,2.515526377583242,0,1.937319040298462,0,1723045655.5236316
0.5226526339831232,0.23956839294818827,0.01628359559754376,3.1230204105377197,0.25585198854573205,1,2.6182973384857178,1,1723045655.8376055
0.40353937985633354,0.14483161497501368,0.01047880848047781,3.478212356567383,0.15531042345549148,2,2.973376989364624,2,1723045656.1927974
0.23125560582780572,0.09656981150759897,0.022965508621153437,3.872316360473633,0.1195353201287524,3,3.3675179481506348,3,1723045656.5869014
0.19249408092836023,0.040376266174668406,0.012415311515719693,4.310814142227173,0.0527915776903881,4,3.806109666824341,4,1723045657.0253992
0.14964118252753733,0.021293800067078983,0.0051574029540447635,4.789416790008545,0.026451203021123748,5,4.284600019454956,5,1723045657.5040019
0.11649509951627825,0.015434205874804902,0.0031254959366433005,5.307955265045166,0.0185597018114482,6,4.802984714508057,6,1723045658.0225403
0.08607508333252524,0.010575859494602711,0.003313352637185947,5.865441083908081,0.013889212131788658,7,5.360448122024536,7,1723045658.5800261
0.07474739838779712,0.006231701195655971,0.002956570845269898,6.464413642883301,0.009188272040925868,8,5.959244728088379,8,1723045659.1789987
0.06515024257480342,0.003903728387132549,0.0030352161653739622,7.1013503074646,0.006938944552506512,9,6.596444129943848,9,1723045659.8159354
0.05708742791772811,0.004072752555220507,0.002203583567685114,7.775876998901367,0.006276336122905622,10,7.2710301876068115,10,1723045660.490462
0.036990961029260055,0.002326248738208047,0.0011382956917003004,8.49022388458252,0.0034645444299083476,11,7.985342502593994,11,1723045661.204809
0.05925016746426972,0.0013850401837581714,0.0007823079242784529,9.207217693328857,0.0021673481080366243,12,8.700873374938965,12,1723045661.9218028
0.03502077251645341,0.0030669167077634176,0.0013364749918184256,9.929165363311768,0.004403391699581843,13,9.424203157424927,13,1723045662.6437504
0.03304405389876584,0.0010622312476399858,0.0008328981898674142,10.650629043579102,0.0018951294375074,14,10.145577907562256,14,1723045663.365214
55136071969.01873,0.0010196492062080863,0.0005742165787024595,11.36495852470398,0.0015938657849105457,15,10.860095024108887,15,1723045664.0795436
11804414879.380852,2.558528876762265e+21,0.0,12.080870628356934,2.558528876762265e+21,16,11.576117992401123,16,1723045664.7954557
9307211651.8699,1.1151942452902787e+20,0.0,12.79371953010559,1.1151942452902787e+20,17,12.289125919342041,17,1723045665.5083046
8191500041.20551,6.0821821065322045e+19,0.0,13.50838017463684,6.0821821065322045e+19,18,13.00382113456726,18,1723045666.2229652
6769137320.269562,2.8141265513144033e+19,0.0,14.22647500038147,2.8141265513144033e+19,19,13.72185230255127,19,1723045666.94106
5874808308.4171715,3.5661332279706735e+19,0.0,14.943888187408447,3.5661332279706735e+19,20,14.439371347427368,20,1723045667.6584733
3808946691.626525,2.531011816187151e+19,0.0,15.65946650505066,2.531011816187151e+19,21,15.155072927474976,21,1723045668.3740516
2568439849.875223,2.354362863505109e+19,0.0,16.368694067001343,2.354362863505109e+19,22,15.86410927772522,22,1723045669.0832791
2761246533.4414954,1.3166446808231115e+19,0.0,17.0811927318573,1.3166446808231115e+19,23,16.5766704082489,23,1723045669.7957778
3444873461.9527836,7.653621925712592e+18,0.0,17.794049501419067,7.653621925712592e+18,24,17.289487600326538,24,1723045670.5086346
2216600917.0476074,7.48870158184909e+18,0.0,18.505326986312866,7.48870158184909e+18,25,18.000736713409424,25,1723045671.219912
2178473985.085654,3.8304719455795174e+18,0.0,19.214641094207764,3.8304719455795174e+18,26,18.710137128829956,26,1723045671.9292262
