step,loss,l2_error,_timestamp,time,_step,loss_boundary,_runtime,loss_interior
0,2.992959675888267,0.6615589919461299,1723045694.8771293,1.5152785778045654,0,2.9929348288213,2.3945772647857666,2.4847066967012313e-05
1,0.5092720601693604,0.7602083858549848,1723045695.349598,2.349302053451538,1,0.5091955242168471,2.8670458793640137,7.653595251329236e-05
2,0.3895032738432251,0.8312132121164576,1723045695.8079453,2.8079190254211426,2,0.38936994053843443,3.3253931999206543,0.00013333330479063188
3,0.35446509817455657,0.7472524823507235,1723045696.2216468,3.219712734222412,3,0.35365404406155015,3.7390947341918945,0.0008110541130064013
4,0.34932098435000514,0.8568433093617055,1723045696.6273603,3.627145290374756,4,0.3466344716780806,4.144808292388916,0.002686512671924537
5,0.33127637188454273,0.6569406081710462,1723045697.0616257,4.061473846435547,5,0.32202611519665614,4.579073667526245,0.009250256687886576
6,0.29918592163487195,0.7546238533762417,1723045697.5045784,4.503139495849609,6,0.28236651153365994,5.022026300430298,0.016819410101212004
7,0.2547678998281581,0.6001156232005873,1723045697.9374685,4.937342166900635,7,0.23945868198838557,5.454916477203369,0.015309217839772559
8,0.24119575716890132,0.7158743034864993,1723045698.3376632,5.337574243545532,8,0.22192130893867762,5.855111122131348,0.0192744482302237
9,0.2609522037066212,0.5860299267383462,1723045698.7562635,5.756234407424927,9,0.24847591336571043,6.273711442947388,0.012476290340910778
10,0.22394854664252026,0.701211915461879,1723045699.2107902,6.21051025390625,10,0.20507789310464408,6.728238105773926,0.018870653537876182
11,0.19957941000559615,0.5642354651382172,1723045699.6705816,6.670459032058716,11,0.19254830405786333,7.188029527664185,0.00703110594773281
12,0.19508043944975254,0.6098698287014166,1723045700.1553621,7.155173301696777,12,0.18092697998433044,7.672810077667236,0.014153459465422097
13,0.19488971314282422,0.517531981961859,1723045700.5765784,7.576412916183472,13,0.17611760962508413,8.094026327133179,0.01877210351774007
14,0.16640648185980303,0.588500145810902,1723045701.0282025,8.027801990509033,14,0.14512657086059647,8.545650482177734,0.021279910999206567
15,0.19287582823598282,0.546352950776032,1723045701.4491801,8.448997259140015,15,0.178543950935573,8.966628074645996,0.014331877300409841
16,0.17102570201146908,0.5784665134732163,1723045701.8534396,8.853208780288696,16,0.1562812564988601,9.370887517929077,0.014744445512608966
17,0.17360604540955674,0.5456704979837645,1723045702.2823043,9.282049417495728,17,0.16063532438683478,9.799752235412598,0.012970721022721942
18,0.18836872804037588,0.5047973313115727,1723045702.703467,9.703178644180298,18,0.17341857975522817,10.220914840698242,0.014950148285147711
19,0.16441484838792014,0.5350452803886421,1723045703.112962,10.112710237503052,19,0.14540673234999826,10.630409955978394,0.019008116037921876
20,0.17760599200077598,0.48899799466094307,1723045703.5154479,10.515212774276733,20,0.16189207186023477,11.032895803451538,0.0157139201405412
21,0.16139223017362955,0.5545230922036548,1723045703.9169745,10.916712999343872,21,0.1436311330353865,11.434422492980957,0.017761097138243052
22,0.16251295706794514,0.515214177120052,1723045704.323445,11.323193550109863,22,0.1478794504441093,11.840893030166626,0.014633506623835833
23,0.14862005417076213,0.5477575727773353,1723045704.7638366,11.763457536697388,23,0.1315901973681401,12.28128457069397,0.017029856802622024
24,0.15330157638391237,0.5067068557216927,1723045705.2073338,12.20706558227539,24,0.13825836132668515,12.72478175163269,0.015043215057227229
25,0.15800511517570334,0.5447503167748017,1723045705.6705546,12.67021632194519,25,0.14299660604911965,13.188002586364746,0.015008509126583679
26,0.15526016266999718,0.5129445160343067,1723045706.088015,13.087738990783691,26,0.1383692968446008,13.605463027954102,0.016890865825396374
27,0.16168939477980487,0.46855673968810235,1723045706.5484679,13.54818344116211,27,0.14482876043670076,14.065915822982788,0.016860634343104117
28,0.14456484523276197,0.48685442222871755,1723045706.99102,13.990497350692749,28,0.12611594820290467,14.50846791267395,0.018448897029857293
29,0.13367792457482283,0.4495544118688596,1723045707.454535,14.454260110855103,29,0.11355874112695932,14.971982955932617,0.020119183447863502
30,0.13147596691539476,0.476503682336539,1723045707.8835163,14.883135318756104,30,0.11220514639427856,15.400964260101318,0.01927082052111621
31,0.1349725992970861,0.4330969054926216,1723045708.3062658,15.305965423583984,31,0.1184825732297881,15.823713779449463,0.016490026067298012
32,0.12655004891659655,0.45767469239663205,1723045708.722895,15.722591400146484,32,0.10874133042588077,16.24034285545349,0.017808718490715768
33,0.12010656255168964,0.43024580121701345,1723045709.176421,16.17611050605774,33,0.10369166377757934,16.69386887550354,0.016414898774110308
34,0.11936374997152548,0.45760030909423055,1723045709.5883884,16.588088989257812,34,0.10356548204617726,17.105836391448975,0.015798267925348223
35,0.11519440926898374,0.42405674499335594,1723045710.021014,17.02072238922119,35,0.10009330769047335,17.538461923599243,0.01510110157851039
36,0.12305001303798294,0.4587417746236466,1723045710.458302,17.4580020904541,36,0.10612243887261784,17.975749969482422,0.016927574165365097
37,0.12523588880201186,0.4127338638133117,1723045710.8864937,17.886033058166504,37,0.11061773609384404,18.40394163131714,0.01461815270816783
38,0.12083181156404324,0.4481845145459938,1723045711.318042,18.317734241485596,38,0.10307133470752249,18.835489988327026,0.017760476856520754
39,0.12155726112757648,0.41618676552086714,1723045711.7618487,18.761547565460205,39,0.10526123097515205,19.27929663658142,0.016296030152424423
40,0.11501544802907765,0.44735393068429563,1723045712.1872733,19.186952590942383,40,0.09709124672201103,19.704721212387085,0.017924201307066623
42,0.12061366526744148,0.43107490175001745,1723045713.0176034,20.01724123954773,41,0.1046529455870623,20.535051345825195,0.01596071968037918
46,0.11092034429523315,0.40669284753031293,1723045714.7332268,21.732839345932007,42,0.08794915578164401,22.250674724578857,0.02297118851358913
50,0.09097785480511178,0.40172333145874867,1723045716.448221,23.44786787033081,43,0.07301038904167861,23.96566891670227,0.01796746576343317
55,0.09069029575075148,0.36712662559827924,1723045718.6732106,25.67286205291748,44,0.07610162098678315,26.190658569335938,0.014588674763968332
61,0.08819723277946347,0.3706065164346302,1723045721.2251391,28.224854230880737,45,0.07142322653874209,28.742587089538574,0.01677400624072138
67,0.08730961363649523,0.35512895809639616,1723045723.749216,30.748790740966797,46,0.07034419308304436,31.266664028167725,0.016965420553450863
73,0.07243850108101507,0.3417446698146536,1723045726.4046745,33.40400981903076,47,0.05932958656068952,33.92212247848511,0.01310891452032556
81,0.07317824497894733,0.32165436950095616,1723045729.8902986,36.889928340911865,48,0.0596485127501557,37.40774655342102,0.013529732228791625
89,0.06526257309997335,0.2932181819910412,1723045733.2190616,40.218807220458984,49,0.05266671307680965,40.736509561538696,0.012595860023163695
98,0.05583979065417161,0.28002014691685273,1723045737.1309266,44.13059759140015,50,0.0429515664073318,44.64837455749512,0.012888224246839816
107,0.05054131335039932,0.2586145434762048,1723045740.965585,47.965296030044556,51,0.038027975067277356,48.48303294181824,0.012513338283121962
118,0.0456580802334855,0.2362555262214314,1723045745.5514321,52.551055669784546,52,0.03496788779136715,53.06888008117676,0.010690192442118353
130,0.04072376415547898,0.215550519653357,1723045750.762723,57.76214528083801,53,0.03052344542334573,58.280170917510986,0.010200318732133248
143,0.03698655736626637,0.20460830716095618,1723045756.4120476,63.41171360015869,54,0.027317414440860537,63.92949557304382,0.009669142925405834
157,0.0343445697408441,0.19370987758370395,1723045762.9987288,69.99828505516052,55,0.02546366951648641,70.51617670059204,0.008880900224357693
172,0.031037578703327205,0.17566018110414855,1723045769.8760715,76.8756992816925,56,0.02372583110747905,77.3935194015503,0.007311747595848158
190,0.02590217388647429,0.1653169870204391,1723045777.5785465,84.57796239852905,57,0.019513748703445067,85.09599447250366,0.006388425183029224
208,0.02469628117607862,0.15597227341902883,1723045785.3968322,92.39647674560547,58,0.01892989908978344,92.91428017616272,0.005766382086295181
229,0.018001698920206952,0.15483228897459697,1723045794.6099043,101.6095495223999,59,0.01313164540686101,102.12735223770142,0.004870053513345942
252,0.01868501157868957,0.14393960927396454,1723045804.5827954,111.58214712142944,60,0.014840835660707253,112.10024333000183,0.0038441759179823156
277,0.015968581072192026,0.12935041039624878,1723045815.6717038,122.67127656936646,61,0.012825984145738248,123.18915176391602,0.003142596926453777
305,0.015144512863531395,0.11882455113662688,1723045827.591776,134.59133887290955,62,0.012123988587991531,135.10922384262085,0.0030205242755398645
335,0.013120718288350871,0.10618795730969245,1723045841.17151,148.17086958885193,63,0.010206287027433788,148.6889579296112,0.002914431260917084
369,0.011668203506392335,0.10716725006160106,1723045856.3891551,163.38868355751038,64,0.008751364679063544,163.90660309791565,0.00291683882732879
406,0.010980175971890747,0.10565874806702563,1723045873.1510856,180.150776386261,65,0.008259803439859393,180.6685335636139,0.002720372532031354
446,0.0104732526968458,0.09863389793251842,1723045891.682212,198.6816849708557,66,0.007936569841588992,199.19966006278992,0.0025366828552568087
491,0.009766754365482666,0.09016479126951246,1723045911.6858153,218.68538117408752,67,0.007277746188006934,219.20326328277588,0.0024890081774757325
540,0.008458854972134125,0.08786355609994413,1723045933.0444846,240.0440046787262,68,0.0061153123724803455,240.56193256378174,0.002343542599653779
594,0.007478996697079762,0.08252139191099428,1723045957.1940668,264.19358110427856,69,0.005462577687181111,264.71151471138,0.002016419009898651
653,0.006732619718636108,0.08073907058460662,1723045983.3512428,290.35089898109436,70,0.004735116213951024,290.86869072914124,0.0019975035046850844
718,0.006109961395683001,0.08054273954838913,1723046012.4082556,319.4076871871948,71,0.004239105711673838,319.9257035255432,0.0018708556840091634
790,0.006390081865164158,0.07236370390589103,1723046044.269359,351.2689504623413,72,0.004582160855689953,351.7868070602417,0.0018079210094742054
