_step,_runtime,loss_interior,step,time,loss,loss_boundary,l2_error,_timestamp
0,2.7217788696289062,3.796917940553107e-06,0,1.067145824432373,2.7897009387967566,2.789697141878816,1.7932749578126965,1723045653.2759628
1,2.7478091716766357,1.546403540130595e-05,1,1.3535919189453125,2.5439405382113116,2.5439250741759105,1.680953815552849,1723045653.3019931
2,2.770538806915283,9.110060807336277e-05,2,1.3758518695831299,2.3130391851374745,2.3129480845294013,1.5263593332637586,1723045653.3247228
3,2.7925362586975098,0.00030436022236198196,3,1.3977227210998535,1.9360860810127993,1.9357817207904373,1.3388031753814336,1723045653.3467202
4,2.8141956329345703,0.0007204271994596208,4,1.4194340705871582,1.7497027202517312,1.7489822930522716,1.124001746696272,1723045653.3683796
5,2.836016893386841,0.0014659906447480123,5,1.4413249492645264,1.2744013786080093,1.2729353879632612,0.9002680370826287,1723045653.3902009
6,2.857774496078491,0.00251585646586554,6,1.463099718093872,0.9793369033095133,0.9768210468436478,0.7069406124606253,1723045653.4119585
7,2.8826606273651123,0.003977819031200879,7,1.4846878051757812,0.6962672137322875,0.6922893947010866,0.6357856034447865,1723045653.4368446
8,2.9060189723968506,0.00556238695749755,8,1.5111424922943115,0.45545403261262823,0.4498916456551307,0.7571454058310169,1723045653.460203
9,2.9277591705322266,0.007187037082099402,9,1.5326998233795166,0.3520170928897129,0.3448300558076135,0.9923912167153118,1723045653.4819431
10,2.949334144592285,0.00829044430993041,10,1.5541877746582031,0.4347211528015641,0.42643070849163367,1.2292988853830407,1723045653.503518
11,2.9689838886260986,0.008289659675580607,11,1.5757670402526855,0.532837852489873,0.5245481928142924,1.404604163769119,1723045653.5231678
12,2.989976406097412,0.007377959120370093,12,1.596022129058838,0.6805912676214187,0.6732133085010487,1.4812648448077794,1723045653.5441604
13,3.009432792663574,0.005614348646274635,13,1.6163594722747803,0.7126227407326176,0.7070083920863429,1.453977308731941,1723045653.5636168
14,3.0291121006011963,0.003619662585468756,14,1.6360738277435303,0.7108590393137071,0.7072393767282383,1.334656665125765,1723045653.583296
15,3.048795461654663,0.0016854596053314007,15,1.655862808227539,0.5996859784906666,0.5980005188853352,1.1577329615374028,1723045653.6029794
16,3.0698676109313965,0.0007290168691993335,16,1.6751937866210938,0.4867547823678246,0.48602576549862525,0.9634051443279865,1723045653.6240516
17,3.0896663665771484,0.000919163960078361,17,1.6970672607421875,0.37023631769830084,0.3693171537382225,0.7914441875056847,1723045653.6438503
18,3.1091606616973877,0.0020581583105955615,18,1.716261863708496,0.320653402494936,0.31859524418434043,0.6709165391250381,1723045653.6633446
19,3.128671646118164,0.003971870082274547,19,1.7359485626220703,0.31968953135076084,0.31571766126848627,0.6074030899272059,1723045653.6828556
20,3.148207902908325,0.006149716360803942,20,1.755577802658081,0.3740013768733108,0.36785166051250684,0.5874889326101609,1723045653.7023919
21,3.167771339416504,0.00846930774106829,21,1.7750468254089355,0.3667359710558185,0.3582666633147502,0.5881867971299178,1723045653.7219553
22,3.1881895065307617,0.010837151224476524,22,1.795663595199585,0.4309297454149111,0.42009259419043454,0.59044027366846,1723045653.7423735
23,3.2084708213806152,0.012855574944353909,23,1.8160507678985596,0.44736768876661115,0.43451211382225724,0.5863064035536352,1723045653.7626548
24,3.228238821029663,0.015037613769974567,24,1.8356993198394775,0.42166252512775865,0.40662491135778406,0.5763176600730618,1723045653.7824228
25,3.247365951538086,0.017180631167472718,25,1.8546268939971924,0.4079227895872157,0.39074215841974297,0.567286443966381,1723045653.80155
26,3.26896071434021,0.019218200969537202,26,1.8761024475097656,0.38512658702174535,0.36590838605220816,0.5684741562167316,1723045653.8231447
27,3.2880125045776367,0.021285035103973764,27,1.89516019821167,0.373040159274976,0.35175512417100224,0.5881425063571789,1723045653.8421965
28,3.307493209838867,0.023568086283306852,28,1.9147496223449707,0.3403511278606626,0.3167830415773557,0.6296179915751027,1723045653.8616772
29,3.32661509513855,0.024440998387808537,29,1.933852195739746,0.316856462984147,0.29241546459633844,0.6854341917503098,1723045653.880799
30,3.3457796573638916,0.02644494707841943,30,1.9530179500579834,0.3130894637894917,0.2866445167110723,0.7450349059397532,1723045653.8999636
31,3.365314483642578,0.027402096946094058,31,1.9723784923553467,0.31661626062622034,0.28921416368012626,0.7972104254370221,1723045653.9194984
32,3.385319471359253,0.02862794479746869,32,1.9926621913909912,0.32367594250699694,0.2950479977095282,0.8341825250846274,1723045653.9395034
33,3.4046688079833984,0.02942488488939539,33,2.011793851852417,0.36961223478793653,0.34018734989854116,0.8514026747830656,1723045653.9588528
34,3.424381971359253,0.0296256133674762,34,2.031519651412964,0.3311807383954119,0.3015551250279357,0.8476262474317188,1723045653.978566
35,3.447197437286377,0.030546363595402273,35,2.0543577671051025,0.33449368093025955,0.3039473173348573,0.8270837235897063,1723045654.0013814
36,3.466649055480957,0.030704746884071606,36,2.073786973953247,0.33901993513465484,0.30831518825058324,0.7912502936952027,1723045654.020833
37,3.4863431453704834,0.031555475213250736,37,2.09366512298584,0.3241607050296235,0.29260522981637277,0.7480264093002603,1723045654.040527
38,3.5076448917388916,0.030940537261026368,38,2.116753101348877,0.2936617962376873,0.26272125897666093,0.7020929517967893,1723045654.0618289
39,3.5288374423980713,0.03084871730920561,39,2.136140823364258,0.31076202057012686,0.27991330326092123,0.6617824180295198,1723045654.0830214
40,3.5482640266418457,0.03077629027599387,40,2.155491590499878,0.2860001173006178,0.25522382702462393,0.6264361124193095,1723045654.102448
41,3.584846258163452,0.029097407579010647,42,2.1921138763427734,0.2887198723452539,0.2596224647662433,0.5806265715019054,1723045654.1390302
42,3.659005641937256,0.025545288391829606,46,2.2661361694335938,0.30145256988713376,0.27590728149530414,0.568655599556132,1723045654.2131896
43,3.7270283699035645,0.021698167040786594,50,2.334137201309204,0.2612324973356866,0.23953433029489998,0.6278427243163301,1723045654.2812123
44,3.8112752437591553,0.01657441964232153,55,2.4181997776031494,0.2595221884932072,0.24294776885088568,0.6929140050703508,1723045654.3654592
45,3.910687208175659,0.01774798087647207,61,2.5179944038391113,0.2373492927323674,0.21960131185589535,0.6229372361390975,1723045654.4648712
46,4.010821580886841,0.019598580270660904,67,2.617903232574463,0.25103725848245,0.23143867821178912,0.5684170558805169,1723045654.5650055
47,4.111300468444824,0.01796281230746552,73,2.718557357788086,0.204238242983352,0.18627543067588648,0.6002828842023485,1723045654.6654844
48,4.247893571853638,0.018149386891412232,81,2.8549983501434326,0.20202232456682456,0.18387293767541232,0.5814536566418773,1723045654.8020775
49,4.382977724075317,0.020957710080973937,89,2.989250659942627,0.1965142997417933,0.17555658966081936,0.5695289554332549,1723045654.9371617
50,4.534254550933838,0.01861021124156738,98,3.141470193862915,0.1988581235758174,0.18024791233425003,0.5689335815338069,1723045655.0884385
51,4.687429904937744,0.01733137824204829,107,3.294247627258301,0.1893550982033326,0.17202371996128432,0.5620844888016809,1723045655.2416139
52,4.865545034408569,0.015788488700673686,118,3.4726357460021973,0.18307620778630507,0.1672877190856314,0.5347002083151832,1723045655.419729
53,5.062511920928955,0.013418413560778799,130,3.6694095134735107,0.1568628271583819,0.1434444135976031,0.5412163905193893,1723045655.616696
54,5.27947211265564,0.013506647242375625,143,3.8862669467926025,0.15263253817731817,0.13912589093494254,0.5133102062317135,1723045655.833656
55,5.51003623008728,0.014106733940668107,157,4.116927146911621,0.1544753140190785,0.14036858007841038,0.5002209871347514,1723045656.0642202
56,5.755986452102661,0.014600025493731919,172,4.362793207168579,0.14505294832667115,0.13045292283293924,0.49015172931970435,1723045656.3101704
57,6.048201084136963,0.01738377666759299,190,4.654961585998535,0.1325752612011514,0.1151914845335584,0.4699966123801874,1723045656.602385
58,6.341314315795898,0.017300260637635345,208,4.948105812072754,0.1410993550101336,0.12379909437249827,0.4645024293016707,1723045656.8954983
59,6.679107189178467,0.018747121127502812,229,5.285855531692505,0.13086343371311315,0.11211631258561033,0.4385855000344704,1723045657.2332911
60,7.055065155029297,0.01638222080292995,252,5.661784648895264,0.12124246306355754,0.1048602422606276,0.4298216485722313,1723045657.609249
61,7.457091808319092,0.014903447125276652,277,6.063723087310791,0.11138763640348331,0.09648418927820666,0.41939814592120345,1723045658.0112758
62,7.913815021514893,0.01556915498889289,305,6.521017551422119,0.09966280689123862,0.08409365190234573,0.3870194710632077,1723045658.467999
63,8.396421194076538,0.01482127951738301,335,7.003201246261597,0.08614503165332137,0.07132375213593836,0.34036425492839234,1723045658.9506052
