step,_timestamp,loss_boundary,time,_step,_runtime,l2_error,loss_interior,loss
0,1723045654.1097665,2.3941474858584644,0.9910616874694824,0,2.868241548538208,1.6548030407761811,1.0692413319824011e-05,2.394158178271784
1,1723045654.1334965,2.395806699855372,1.2825651168823242,1,2.8919715881347656,1.5610460699396183,1.5477615666572805e-05,2.3958221774710386
2,1723045654.1556973,2.05441331708863,1.3042502403259277,2,2.914172410964966,1.4294990180617944,3.166497424407281e-05,2.054444982062874
3,1723045654.1779246,1.825107911405504,1.3265345096588135,3,2.9363996982574463,1.26402113729452,6.735560861898371e-05,1.825175267014123
4,1723045654.2001035,1.5924071248344684,1.3486270904541016,4,2.958578586578369,1.070201153988572,0.00014390207158143707,1.5925510269060499
5,1723045654.222213,1.2413251067718898,1.3707077503204346,5,2.9806880950927734,0.863341262276694,0.0003057063862355009,1.2416308131581253
6,1723045654.2444081,0.8886886060828384,1.3931097984313965,6,3.002883195877075,0.6863861499975081,0.0005962107776091414,0.8892848168604476
7,1723045654.2663116,0.5835440959208502,1.4147818088531494,7,3.0247867107391357,0.6289060529226879,0.0010660272381195187,0.5846101231589698
8,1723045654.2866542,0.44440579423104065,1.4371919631958008,8,3.0451292991638184,0.75584659972467,0.0017934533926679023,0.44619924762370855
9,1723045654.3066697,0.34252807346553305,1.4569876194000244,9,3.0651447772979736,0.9937267443531792,0.002636317630374791,0.34516439109590785
10,1723045654.3264546,0.41650470875845313,1.476633071899414,10,3.0849297046661377,1.2376628596686552,0.003399292629026387,0.4199040013874795
11,1723045654.3475797,0.5592557982854146,1.4980926513671875,11,3.1060547828674316,1.4132382526056118,0.003598215270593987,0.5628540135560086
12,1723045654.3699584,0.6626677449373826,1.5194423198699951,12,3.1284334659576416,1.4841170465626463,0.0031941761608871794,0.6658619210982697
13,1723045654.390292,0.7383991684198072,1.5408267974853516,13,3.1487669944763184,1.4470760725263132,0.0021298120011205334,0.7405289804209277
14,1723045654.4102983,0.7561335125589529,1.5606958866119385,14,3.1687734127044678,1.317218789760881,0.0011071977441204017,0.7572407103030733
15,1723045654.429774,0.5946061779514317,1.5802645683288574,15,3.188249111175537,1.1349642680324712,0.0005443661667649768,0.5951505441181967
16,1723045654.449854,0.41734048925138517,1.6003139019012451,16,3.20832896232605,0.9453742997956479,0.0012005533697171306,0.4185410426211023
17,1723045654.4696724,0.3928032888784189,1.6203644275665283,17,3.228147506713867,0.7810095557633254,0.0030437871652513235,0.39584707604367025
18,1723045654.4892848,0.341445477856032,1.6399147510528564,18,3.2477598190307617,0.6650302318651314,0.005673080740733531,0.34711855859676555
19,1723045654.5087636,0.31557838955571516,1.659381628036499,19,3.2672386169433594,0.6025301806699966,0.008572971210346692,0.3241513607660618
20,1723045654.5286367,0.3395029456944075,1.6793549060821533,20,3.287111759185791,0.5808757328432377,0.011162350131813763,0.35066529582622125
21,1723045654.5482883,0.37980944169375497,1.6989140510559082,21,3.3067634105682373,0.579846008484363,0.013456966313693452,0.39326640800744844
22,1723045654.5678332,0.42394485532948556,1.719114065170288,22,3.326308250427246,0.5827633364649096,0.015334803437017045,0.4392796587665026
23,1723045654.5871525,0.4679421604820527,1.7377724647521973,23,3.345627546310425,0.582209109982736,0.016777727068402276,0.48471988755045503
24,1723045654.6065083,0.4330952447457311,1.7572085857391357,24,3.364983320236206,0.5769914500825435,0.01800262469915922,0.4510978694448903
25,1723045654.625761,0.4122291606318123,1.776332139968872,25,3.3842360973358154,0.5701605705577071,0.019241687552839483,0.4314708481846518
26,1723045654.6453872,0.37610692643613053,1.7959389686584473,26,3.403862237930298,0.5674375401775477,0.020250765163940983,0.3963576916000715
