_step,l2_error,time,loss_boundary,step,_timestamp,loss_interior,loss,_runtime
0,2.022790625426241,1.5409598350524902,3.2617973017784463,0,1723045654.8170567,0.001954453830865279,3.2637517556093116,2.6970696449279785
1,1.9733017869073342,1.947389841079712,3.09820442441582,1,1723045654.8412516,0.0018501269503968802,3.1000545513662168,2.721264600753784
2,1.9243013166710072,1.9692678451538086,2.937438684365243,2,1723045654.863481,0.0017153731991031206,2.939154057564346,2.7434940338134766
3,1.8753499317482276,1.9912803173065186,2.802359716709101,3,1723045654.887555,0.0016141970755209727,2.803973913784622,2.7675678730010986
4,1.8259166091735337,2.0173892974853516,2.596386109600255,4,1723045654.911322,0.0014879957236666754,2.5978741053239216,2.791335105895996
5,1.77522252839929,2.0398712158203125,2.668192281299838,5,1723045654.9339266,0.0013510973349704545,2.6695433786348084,2.8139395713806152
6,1.7226092255113459,2.0620086193084717,2.575907006237808,6,1723045654.9562604,0.001230626150204077,2.577137632388012,2.836273431777954
7,1.667512323070113,2.0844409465789795,2.499475224784761,7,1723045654.9785585,0.0010877113320007163,2.500562936116762,2.8585715293884277
8,1.60959372507101,2.1069536209106445,2.2212644830693775,8,1723045655.0010798,0.0009272188725922263,2.22219170194197,2.8810927867889404
9,1.548388259691725,2.1294198036193848,2.2279559876115256,9,1723045655.0233903,0.0007745542007629262,2.2287305418122885,2.9034032821655273
10,1.4836153994930485,2.1515233516693115,2.113046203302152,10,1723045655.0457497,0.0005985018412767866,2.113644705143429,2.92576265335083
11,1.4152388366980646,2.174290418624878,1.8154183448479997,11,1723045655.068237,0.0004938207501383481,1.815912165598138,2.9482500553131104
12,1.3429875309410928,2.1962852478027344,1.8486685981792632,12,1723045655.0898592,0.00038749378647410257,1.8490560919657373,2.969872236251831
13,1.2669721890730539,2.2174572944641113,1.6971653248343492,13,1723045655.1097362,0.00033558698474901906,1.6975009118190982,2.9897491931915283
14,1.187589902054765,2.23793625831604,1.5431225887147149,14,1723045655.1301663,0.0003026668340876677,1.5434252555488026,3.010179281234741
15,1.1054124017210771,2.258657932281494,1.3712087860690558,15,1723045655.1508772,0.000345399252121644,1.3715541853211775,3.0308902263641357
16,1.0213785989811082,2.2784855365753174,1.233674188789956,16,1723045655.171016,0.00043981386656421914,1.2341140026565203,3.0510289669036865
17,0.9368390992019574,2.3001201152801514,1.119959328744471,17,1723045655.1924345,0.0006507214492225543,1.1206100501936935,3.0724475383758545
18,0.8536928497702365,2.3203940391540527,1.002988735627722,18,1723045655.2130485,0.0008602292105882186,1.0038489648383102,3.0930614471435547
19,0.7746740900744001,2.3406221866607666,0.8707811134961149,19,1723045655.233223,0.0012328145944699735,0.8720139280905849,3.1132359504699707
20,0.7034127654807151,2.360457420349121,0.7474107395812826,20,1723045655.2531204,0.0016709866802420864,0.7490817262615247,3.1331334114074707
21,0.6443021919717768,2.3813376426696777,0.6119021876477616,21,1723045655.2737134,0.0021459267616819686,0.6140481144094436,3.15372633934021
22,0.6016770353258913,2.4015257358551025,0.5658838864770196,22,1723045655.2940059,0.0025220181545733454,0.5684059046315929,3.1740188598632812
23,0.5793766488215555,2.4219884872436523,0.4815463942174555,23,1723045655.3144488,0.0030628943345007375,0.48460928855195623,3.1944618225097656
24,0.5787104912529422,2.44238018989563,0.43490422897086306,24,1723045655.334934,0.0034230520104218494,0.43832728098128493,3.214946985244751
25,0.5976849242214916,2.4640049934387207,0.38282072015482255,25,1723045655.3562486,0.003753772894959364,0.3865744930497819,3.2362616062164307
26,0.6317821309260684,2.4850246906280518,0.3491257313063296,26,1723045655.3773863,0.003997566894940981,0.3531232982012706,3.257399320602417
27,0.6756465920050049,2.506289005279541,0.32633736149975595,27,1723045655.3988047,0.0041723527534323875,0.3305097142531883,3.278817653656006
28,0.724493757570884,2.5283796787261963,0.31685744280797673,28,1723045655.4207659,0.004304138979506574,0.32116158178748333,3.300778865814209
29,0.7742059926346206,2.5497307777404785,0.28403210885744146,29,1723045655.442139,0.004224367521751602,0.28825647637919305,3.3221518993377686
30,0.8216822899445853,2.5706686973571777,0.3092433435658012,30,1723045655.4630976,0.0041272277982722285,0.3133705713640734,3.3431105613708496
31,0.8638621719628288,2.592798948287964,0.326720068329475,31,1723045655.4850333,0.003961245293311393,0.33068131362278635,3.365046262741089
32,0.8989988461790546,2.613447427749634,0.32110194054989744,32,1723045655.5058873,0.0037233329922682578,0.32482527354216567,3.3859002590179443
33,0.9264265828295154,2.634669303894043,0.3177490009864739,33,1723045655.5271559,0.003520117134106308,0.32126911812058023,3.4071688652038574
34,0.9461431988932397,2.6546871662139893,0.34436772921135983,34,1723045655.5471618,0.0030093095067105697,0.3473770387180704,3.4271748065948486
35,0.9580767803937263,2.674647092819214,0.36276853973031153,35,1723045655.5672345,0.0026140854660992854,0.3653826251964108,3.4472475051879883
