step,_runtime,loss,_step,time,l2_error,loss_boundary,_timestamp,loss_interior
0,2.8782758712768555,2.631392111380915,0,1.0267143249511719,1.7826318546131668,2.631385783201568,1723045654.121013,6.3281793471193575e-06
1,2.902676820755005,2.618962992482677,1,1.3109753131866455,1.7379940697686653,2.6189419514694956,1723045654.1454139,2.104101318140131e-05
2,2.9246625900268555,2.5250788686277743,2,1.3324882984161377,1.693185314962299,2.5250238497518267,1723045654.1673996,5.501887594764663e-05
3,2.9466710090637207,2.3450145133544185,3,1.3544631004333496,1.6475176348776501,2.344902200530827,1723045654.189408,0.00011231282359145027
4,2.968716621398926,2.3254044530611107,4,1.3765480518341064,1.6003430931545355,2.3252069922013967,1723045654.2114537,0.00019746085971387376
5,2.9911890029907227,2.1677039450468913,5,1.398984670639038,1.5512341056850083,2.167393377982291,1723045654.233926,0.00031056706460063147
6,3.01387357711792,2.1587487543456074,6,1.4219286441802979,1.4996808237844272,2.1582955703360702,1723045654.2566106,0.00045318400953710806
7,3.037435531616211,1.876004284628679,7,1.4456970691680908,1.4453425814827916,1.875372609926244,1723045654.2801726,0.0006316747024351301
8,3.060480833053589,1.8750612096586894,8,1.4685134887695312,1.3877042902248617,1.874200106292803,1723045654.303218,0.0008611033658862393
9,3.082890510559082,1.7439560724233274,9,1.4907243251800537,1.3264596853143713,1.7428033995688688,1723045654.3256276,0.0011526728544587455
10,3.1049206256866455,1.6971749001950784,10,1.512645959854126,1.2613130398999335,1.6957219798449128,1723045654.3476577,0.0014529203501657303
11,3.126918315887451,1.56687924562667,11,1.5346124172210693,1.1922786371882892,1.5650455779366432,1723045654.3696554,0.0018336676900267555
12,3.1507067680358887,1.4369092175250262,12,1.558393955230713,1.1196688615679893,1.4346012323824342,1723045654.3934438,0.0023079851425919333
13,3.172966480255127,1.3148194487436058,13,1.5805370807647705,1.0441370429862045,1.3120276505188506,1723045654.4157035,0.002791798224755105
14,3.1929259300231934,1.1755404879557658,14,1.6024670600891113,0.966747749952115,1.1721692593824482,1723045654.435663,0.003371228573317699
15,3.2135703563690186,1.1223389045352112,15,1.6231160163879395,0.8889727423683723,1.1183589001894096,1723045654.4563074,0.003980004345801511
16,3.234677314758301,0.9820152870120122,16,1.6444294452667236,0.8134369760772175,0.9774530881535416,1723045654.4774144,0.0045621988584706626
17,3.2561845779418945,0.8375897605944608,17,1.6660406589508057,0.7434540986899788,0.8323062637761726,1723045654.4989216,0.005283496818288178
18,3.276989459991455,0.670968242986154,18,1.6863861083984375,0.683536551714628,0.6651172917214228,1723045654.5197265,0.005850951264731197
19,3.297062397003174,0.5875396433227493,19,1.7065057754516602,0.6383133437758479,0.5812339414074345,1723045654.5397995,0.006305701915314898
20,3.3173420429229736,0.5549408846043454,20,1.726808786392212,0.6120656349538274,0.5481991832074011,1723045654.560079,0.006741701396944318
21,3.3374276161193848,0.5198746737814325,21,1.7468082904815674,0.6074869586028404,0.5128846548298155,1723045654.5801647,0.006990018951617026
22,3.3574862480163574,0.3988616187579692,22,1.7667827606201172,0.6243317827969412,0.39172314489428106,1723045654.6002233,0.007138473863688159
23,3.3773958683013916,0.3627385118494567,23,1.786715030670166,0.6589050894280034,0.3556376615952756,1723045654.620133,0.0071008502541811255
