step,time,loss_boundary,_step,_runtime,l2_error,loss,loss_interior,_timestamp
0,1.4873933792114258,2.789697141878816,0,3.0573484897613525,1.192770330688589,2.7897009387967566,3.796917940553107e-06,1723045654.6132154
1,2.778282880783081,1.2349050601504572,1,4.07041597366333,1.195049756066984,1.2413832338959723,0.006478173745514959,1723045655.626283
2,3.54403018951416,1.1727657263018645,2,4.836123943328857,1.2326795614188666,1.1764238184151536,0.003658092113289226,1723045656.391991
3,4.218624830245972,1.107597402286042,3,5.510730266571045,1.2139512130186034,1.1096800354880134,0.0020826332019715046,1723045657.0665972
4,4.730515956878662,1.0932607848102844,4,6.02341103553772,1.2024729319152292,1.095185843350581,0.0019250585402964904,1723045657.579278
5,5.190040111541748,0.9744742598068197,5,6.482123374938965,1.060288447201314,0.9819201431968594,0.007445883390039725,1723045658.0379903
6,5.620852470397949,0.7701155701011291,6,6.912979364395142,0.5033926500653867,0.8374122344600463,0.06729666435891725,1723045658.4688463
7,7.353519916534424,0.153030886855919,7,8.64560580253601,0.14601635541554672,0.16098752346425624,0.007956636608337219,1723045660.2014728
8,8.590339183807373,0.011989542272022508,8,9.883857727050781,0.12952020699080274,0.013020076547950689,0.0010305342759281816,1723045661.4397247
9,9.554056406021118,0.00971699166339069,9,10.846133708953857,0.03934770247228662,0.01115693786314345,0.0014399461997527594,1723045662.4020007
10,10.41361689567566,0.0011035755235998838,10,11.705725193023682,0.03500323756223904,0.0014218902852022204,0.0003183147616023366,1723045663.2615921
11,12.96686863899231,0.0008023813582470239,11,14.258943319320679,0.03159198636368181,0.0009567456171707154,0.00015436425892369156,1723045665.8148103
12,14.139573812484741,0.0005791059467149303,12,15.431683540344238,0.013872661721828222,0.0007631555112493942,0.0001840495645344639,1723045666.9875505
13,15.523815870285034,0.00016869489512533716,13,16.816028594970703,0.017463216188934143,0.0005167642394218793,0.0003480693442965422,1723045668.3718956
14,16.73293447494507,0.00026506971435572073,14,18.025047540664673,0.014496003811439366,0.0004758591382878947,0.000210789423932174,1723045669.5809145
15,18.529887437820435,0.00017897456437504622,15,19.821955680847168,0.01576225927769901,0.00040900171823781534,0.00023002715386276912,1723045671.3778226
16,19.606208324432373,0.0001996342748803806,16,20.89848303794861,0.020862657814284334,0.0003629106544546045,0.0001632763795742239,1723045672.45435
17,20.64911961555481,0.00027870455138002265,17,21.941214323043823,0.01791633247158743,0.00033005165418355465,5.134710280353199e-05,1723045673.4970813
18,22.30270004272461,0.00016255458034329014,18,23.594774961471558,0.008552193197386657,0.00017929767433737755,1.6743093994087415e-05,1723045675.150642
19,27.462798357009888,3.181165362454701e-05,19,28.754927396774292,0.00856983117207515,4.24587949317862e-05,1.0647141307239191e-05,1723045680.3107944
20,28.724183559417725,3.418210725930324e-05,20,30.0162992477417,0.008329416282111543,4.1041534951911594e-05,6.8594276926083585e-06,1723045681.5721662
21,30.578628063201904,3.317452722901349e-05,21,31.87073016166687,0.007972578602148674,3.973028141580331e-05,6.555754186789826e-06,1723045683.426597
22,32.056915044784546,3.310456543008199e-05,22,33.34904909133911,0.007331066419745864,3.87403904168571e-05,5.635824986775114e-06,1723045684.904916
23,33.65084505081177,2.971709816873095e-05,23,34.94294261932373,0.00628929363089155,3.5852583225110854e-05,6.1354850563799036e-06,1723045686.4988096
24,35.49726104736328,2.514413684466855e-05,24,36.789658308029175,0.005477503561592404,3.394066855985238e-05,8.796531715183834e-06,1723045688.3455253
25,40.6776819229126,2.473295525494207e-05,25,41.97081208229065,0.003618096719107477,3.46625680962329e-05,9.92961284129083e-06,1723045693.526679
26,42.2012038230896,1.0404345064095164e-05,26,43.493305921554565,0.0037723567376477364,2.6589777161002655e-05,1.618543209690749e-05,1723045695.0491729
27,44.04521989822388,1.0102775270157046e-05,27,45.33842992782593,0.004074523907590561,2.2891907705831165e-05,1.2789132435674119e-05,1723045696.894297
28,45.09331035614014,1.1926742681336608e-05,28,46.385433197021484,0.004480363155152693,2.226992887214604e-05,1.0343186190809431e-05,1723045697.9413002
29,46.14384841918945,1.44101402456025e-05,29,47.43593978881836,0.004633004298101386,2.198888590665088e-05,7.578745661048383e-06,1723045698.9918067
30,48.05957651138306,1.7288664396535778e-05,30,49.351643800735474,0.0048004364686895324,2.2657140527724748e-05,5.368476131188971e-06,1723045700.9075108
31,49.6621150970459,1.539058193129673e-05,31,50.95420789718628,0.004742590432228496,1.932570973271499e-05,3.935127801418259e-06,1723045702.5100749
32,54.762760400772095,1.6998666594854133e-05,32,56.054917335510254,0.00247233028007444,1.9999837289447498e-05,3.001170694593365e-06,1723045707.6107843
33,55.446210861206055,6.004895225522957e-06,33,56.738524436950684,0.00281004481621669,1.948569498214979e-05,1.3480799756626832e-05,1723045708.2943914
34,57.30296564102173,8.237227108881737e-06,34,58.595053911209106,0.002917638754755724,1.9759734037019053e-05,1.1522506928137314e-05,1723045710.1509209
35,58.44657826423645,8.298757915172894e-06,35,59.73866271972656,0.002818127416414376,1.8387202829910577e-05,1.0088444914737683e-05,1723045711.2945297
36,63.638777017593384,7.65116934805977e-06,36,64.93096041679382,0.0032432479732311535,1.6822942155313553e-05,9.171772807253782e-06,1723045716.4868274
37,64.7001211643219,8.52932934893361e-06,37,65.99216771125793,0.0029803795015195065,1.4697094976111516e-05,6.167765627177905e-06,1723045717.5480347
38,66.97462797164917,8.304836934757399e-06,38,68.26670718193054,0.0026178935340117663,1.3897398212286417e-05,5.592561277529018e-06,1723045719.8225741
39,71.3358998298645,6.957951953539505e-06,39,72.62798810005188,0.001995573298387036,1.1842924515939248e-05,4.884972562399742e-06,1723045724.183855
40,73.19921946525574,3.673200459482647e-06,40,74.49131274223328,0.001689404920647973,8.384164491710973e-06,4.7109640322283265e-06,1723045726.0471797
42,75.38599920272827,2.5770405799151293e-06,41,76.67808222770691,0.0016433833674521856,6.904895250830047e-06,4.327854670914917e-06,1723045728.2339492
46,85.12801218032837,2.4864486731530477e-06,42,86.42036390304565,0.0015613228594464463,4.854000312741418e-06,2.3675516395883707e-06,1723045737.9762309
50,94.77585530281067,2.4785744359343857e-06,43,96.0679976940155,0.0017833343350420266,3.683712379822523e-06,1.2051379438881371e-06,1723045747.6238647
55,107.03365468978882,1.6651806029140221e-06,44,108.32613158226013,0.001239124987960609,2.5500913088158327e-06,8.849107059018106e-07,1723045759.8819985
61,130.68995881080627,4.4182346316436445e-07,45,131.9823932647705,0.0005770836641630242,6.873697647112654e-07,2.455463015469009e-07,1723045783.5382602
67,147.22285151481628,3.8683525001842806e-07,46,148.51507329940796,0.0006760278637330956,5.603463251092911e-07,1.7351107509086303e-07,1723045800.0709403
73,164.56133699417114,3.6477217909574037e-07,47,165.85345435142517,0.0006720267370535872,4.826288121635229e-07,1.1785663306778261e-07,1723045817.4093213
81,185.90352082252502,2.4897065291489063e-07,48,187.1958408355713,0.0005260885471484335,3.535638868343822e-07,1.0459323391949157e-07,1723045838.7517078
89,220.5329828262329,5.656310864691134e-08,49,221.82532453536987,0.0002968043504149609,1.0900239279970348e-07,5.243928415279214e-08,1723045873.3811915
98,257.0663516521454,3.1035266226126515e-08,50,258.3587064743042,0.00018907083877262647,6.986972599720351e-08,3.8834459771076994e-08,1723045909.9145734
107,297.0395612716675,3.9483022699387876e-08,51,298.3319709300995,0.0002703709745454189,6.545871637782714e-08,2.5975693678439263e-08,1723045949.887838
118,347.7194867134094,4.139276820787243e-08,52,349.0119671821594,0.0002486123731703558,5.99408920801515e-08,1.854812387227907e-08,1723046000.5678341
130,409.98126006126404,1.8330861015466136e-08,53,411.27373933792114,0.00014398362439248003,3.06084391152345e-08,1.2277578099768363e-08,1723046062.8296063
143,477.76844024658203,8.48172603862303e-09,54,479.0609414577484,9.324259630014332e-05,1.9150560245859223e-08,1.0668834207236195e-08,1723046130.6168084
157,550.7163484096527,3.2848908569312984e-09,55,552.0088651180267,6.369726451690714e-05,1.0437798215955623e-08,7.152907359024325e-09,1723046203.564732
172,628.4122829437256,4.136279787577208e-09,56,629.7047674655914,5.6330979657565706e-05,1.0089489971775515e-08,5.953210184198306e-09,1723046281.2606344
190,721.6211910247803,2.4495556335363027e-09,57,722.9135637283325,5.097194471180694e-05,7.109725784351672e-09,4.660170150815369e-09,1723046374.4694307
208,814.289724111557,2.019557453607375e-09,58,815.5830054283142,4.474100941068403e-05,5.778620023496988e-09,3.7590625698896125e-09,1723046467.1388724
229,921.2811422348022,1.9428935707790677e-09,59,922.5736088752747,4.263692799823022e-05,5.425706055846916e-09,3.4828124850678488e-09,1723046574.1294758
252,1040.759358882904,1.5220920922945881e-09,60,1042.051810503006,3.894636304211257e-05,4.611012658263674e-09,3.088920565969086e-09,1723046693.6076775
277,1167.0927653312683,1.4637608093944285e-09,61,1168.3852169513702,3.627201737299043e-05,3.8535965782514106e-09,2.389835768856982e-09,1723046819.941084
305,1311.135663509369,1.3862328199346253e-09,62,1312.428214788437,3.6900132964510986e-05,4.002097241080393e-09,2.6158644211457675e-09,1723046963.9840817
335,1466.9568400382996,1.0333870640696984e-09,63,1468.2495512962341,3.363349895536852e-05,3.353217422944974e-09,2.3198303588752757e-09,1723047119.8054183
369,1643.6732983589172,8.816172546670009e-10,64,1644.9657754898071,3.140058405372797e-05,2.514008194134958e-09,1.6323909394679573e-09,1723047296.5216424
406,1835.3098905086517,8.15961314068627e-10,65,1836.6023635864258,3.05197552167248e-05,2.4236437976924495e-09,1.6076824836238225e-09,1723047488.1582305
446,2042.0418293476105,8.517799983101436e-10,66,2043.334177017212,2.8838524720904538e-05,2.307623198151672e-09,1.4558431998415285e-09,1723047694.890044
491,2274.6888806819916,7.146065198711367e-10,67,2275.9814743995667,2.6858286378592775e-05,1.9197184953978694e-09,1.2051119755267327e-09,1723047927.5373414
540,2527.7667276859283,4.953066424109907e-10,68,2529.059136390686,2.429097550661849e-05,1.7820758653313696e-09,1.2867692229203789e-09,1723048180.6150033
594,2806.6077904701233,5.82083858581021e-10,69,2807.9001791477203,2.7447582449340982e-05,1.619144804666886e-09,1.037060946085865e-09,1723048459.456046
632,3002.7289888858795,4.65362964060434e-10,70,3004.0224578380585,2.2588955174143303e-05,1.4603163241743888e-09,9.949533601139547e-10,1723048655.5783248
