step,time,_runtime,l2_error,_timestamp,loss,loss_interior,_step,loss_boundary
0,2.644699811935425,6.3528783321380615,2.044682056714756,1743444013.1565423,124.79941088089237,123.25134859863059,0,1.5480622822617889
1,4.675075054168701,7.636079549789429,2.033946023949487,1743444014.4397435,116.93539748977474,114.67898195890037,1,2.256415530874382
2,5.9543023109436035,8.914091348648071,1.9001823463343899,1743444015.7177553,112.59844487377417,110.11798705357297,2,2.480457820201189
3,7.235710859298706,10.195543050765991,1.9348097049236546,1743444016.999207,109.78452751109063,107.87421458551624,3,1.9103129255743891
4,8.517630577087402,11.477397441864014,1.743024421693715,1743444018.2810614,109.80375818503873,107.69799317881441,4,2.1057650062243103
5,9.80484914779663,12.764832735061646,1.908549792823674,1743444019.5684967,103.22485503400992,101.52864236933733,5,1.6962126646725895
6,11.08536958694458,14.045191764831543,1.0915716794391914,1743444020.8488557,97.84114744260269,95.59570257978862,6,2.2454448628140655
7,12.364071607589722,15.324074029922485,1.3421009128239674,1743444022.127738,41.28265219689617,40.650002707754965,7,0.6326494891412064
8,13.64242148399353,16.602211236953735,1.2020875731220908,1743444023.4058752,11.713820045235714,10.575596095623693,8,1.138223949612022
9,14.920833110809326,17.880600452423096,0.25983081985745693,1743444024.6842644,2.6694956889674435,1.8674333309600217,9,0.8020623580074219
10,16.198806285858154,19.15869641304016,0.20741158816157065,1743444025.9623604,0.12646597940901247,0.08310692722561776,10,0.043359052183394704
11,17.480841398239136,20.440728187561035,0.140371129434672,1743444027.2443922,0.04640109065171621,0.021008389943848276,11,0.02539270070786793
12,18.761476755142212,21.721298933029175,0.11333312824369436,1743444028.524963,0.017698624735096365,0.006158288507755048,12,0.011540336227341318
13,20.043395280838013,23.00321865081787,0.09422050945424598,1743444029.8068826,0.010552689187804033,0.003147934192234043,13,0.00740475499556999
14,21.327319383621216,24.28711438179016,0.0766069573764539,1743444031.0907784,0.007512027608815116,0.0023470521543016557,14,0.0051649754545134595
15,22.60900092124939,25.569058418273926,0.06390251480540707,1743444032.3727224,0.004758318357362615,0.0016683250003562229,15,0.0030899933570063924
16,23.89545464515686,26.855458974838257,0.045293768358708915,1743444033.659123,0.003220020133899031,0.0011445692641324774,16,0.0020754508697665534
17,25.176649808883667,28.136707305908203,0.03823682594250437,1743444034.9403713,0.00143413043089543,0.00040691380936055184,17,0.0010272166215348783
18,26.458110570907593,29.417896509170532,0.03153019585421512,1743444036.2215605,0.0010001634054598147,0.00029334697041590583,18,0.0007068164350439089
19,27.739214181900024,30.699060201644897,0.026858554748617283,1743444037.5027242,0.0007216773576752845,0.00021508373209947265,19,0.0005065936255758118
20,29.027817726135254,31.98758292198181,0.017339633182141257,1743444038.791247,0.0005178192776615078,0.000141981088250783,20,0.00037583818941072476
21,30.311173915863037,33.27093458175659,0.012571643953945616,1743444040.0745986,0.00027929767034261385,0.00012385208777633067,21,0.0001554455825662832
22,31.589897632598877,34.54976940155029,0.007003866174558484,1743444041.3534334,0.0001556805760575612,7.94442522723878e-05,22,7.62363237851734e-05
23,32.868160247802734,35.82792353630066,0.006600841726692013,1743444042.6315875,5.031542789174288e-05,2.533050600961816e-05,23,2.498492188212472e-05
24,34.14590406417847,37.10568284988403,0.006392426659000854,1743444043.9093468,4.3752969466361014e-05,2.12822630035683e-05,24,2.247070646279272e-05
25,35.42369866371155,38.383461236953735,0.0053926319534026755,1743444045.1871252,4.006182484432352e-05,2.031572862133998e-05,25,1.974609622298354e-05
26,36.70143675804138,39.66121435165405,0.005120886613057143,1743444046.4648783,3.062058773485907e-05,1.591587623606557e-05,26,1.4704711498793498e-05
27,37.97874903678894,40.93894052505493,0.004465337978445246,1743444047.7426045,2.4724757536772917e-05,1.1586104825358411e-05,27,1.3138652711414504e-05
28,39.25672149658203,42.216723680496216,0.004321144030115638,1743444049.0203876,1.8774326085268095e-05,8.710973503672578e-06,28,1.0063352581595517e-05
29,40.541075468063354,43.500877380371094,0.004013258984407198,1743444050.3045413,1.588569492472689e-05,6.765197731371952e-06,29,9.120497193354939e-06
30,41.82119703292847,44.78115367889404,0.003732558345147028,1743444051.5848176,1.3474053042078403e-05,5.659553611934434e-06,30,7.814499430143968e-06
31,43.09908699989319,46.05892086029053,0.003586863429351804,1743444052.8625848,1.149442620065858e-05,4.578278621938034e-06,31,6.9161475787205465e-06
32,44.378045320510864,47.337820529937744,0.0032959793888683664,1743444054.1414845,1.022473257700334e-05,3.6146154470601536e-06,32,6.610117129943186e-06
33,45.663116216659546,48.62290382385254,0.0030132522072457814,1743444055.4265678,8.586401345778889e-06,3.1190953180656045e-06,33,5.467306027713285e-06
34,46.93823003768921,49.89807176589966,0.0028622004627555475,1743444056.7017357,7.376807278843047e-06,2.757289735263772e-06,34,4.619517543579276e-06
35,48.212749004364014,51.172555446624756,0.0024942877103434095,1743444057.9762194,6.307046487661787e-06,2.2268565467678167e-06,35,4.08018994089397e-06
36,49.49080467224121,52.45065999031067,0.0017361483359924926,1743444059.254324,4.614754331212392e-06,1.493580189106801e-06,36,3.121174142105591e-06
37,50.764811992645264,53.72458457946777,0.0016815374764735302,1743444060.5282485,1.8722307159216595e-06,3.6561018961118266e-07,37,1.5066205263104768e-06
38,52.039520502090454,54.99935340881348,0.0016070065519623044,1743444061.8030174,1.7715735706577443e-06,3.501818236297758e-07,38,1.4213917470279685e-06
39,53.310505867004395,56.27024698257446,0.0015249166940475198,1743444063.073911,1.6731093530366846e-06,3.2887605943726087e-07,39,1.3442332935994238e-06
40,54.58598279953003,57.545843839645386,0.0014656370363168884,1743444064.3495078,1.5049257271743779e-06,3.2660287737449723e-07,40,1.1783228497998805e-06
42,57.13276982307434,60.092817068099976,0.00034112473419927386,1743444066.896481,1.144608936695668e-06,2.155905740324205e-07,41,9.290183626632476e-07
46,62.214462757110596,65.17438507080078,0.00032841038463933526,1743444071.978049,2.4257175606370175e-07,1.7660800736646382e-07,42,6.596374869723794e-08
50,67.30321550369263,70.26300120353699,0.00032025802181518813,1743444077.0666652,2.1169891195280792e-07,1.491911416556022e-07,43,6.250777029720575e-08
55,73.65990209579468,76.6196641921997,0.0001219328141557648,1743444083.4233282,6.326905863119023e-08,5.23551002929445e-08,44,1.0913958338245734e-08
61,81.30249619483948,84.26261186599731,0.00013615781803757011,1743444091.0662758,3.396878247990033e-08,2.3131136857161808e-08,45,1.0837645622738524e-08
67,88.95310020446777,91.91295886039734,0.00013628819967665147,1743444098.7166228,2.883109706311823e-08,1.8283842398974352e-08,46,1.0547254664143881e-08
73,96.5918276309967,99.55159997940063,7.332589276344408e-05,1743444106.355264,1.4257912258444914e-08,1.0490216992273431e-08,47,3.7676952661714826e-09
81,106.77441334724426,109.73427295684814,7.272488267089469e-05,1743444116.537937,1.0913290405645431e-08,7.015993831366859e-09,48,3.8972965742785735e-09
89,116.96195220947266,119.92202877998352,6.930609557464194e-05,1743444126.7256927,8.99767845047468e-09,5.843932833554192e-09,49,3.153745616920489e-09
98,128.41004920005798,131.369886636734,6.668076781478645e-05,1743444138.1735506,7.45320542138551e-09,4.970120093634546e-09,50,2.483085327750964e-09
107,139.87005043029785,142.8298761844635,4.7418884774359706e-05,1743444149.6335402,5.416683404483448e-09,4.062484888809634e-09,51,1.3541985156738137e-09
118,153.89084339141846,156.8508243560791,5.251742346763893e-05,1743444163.6544883,3.993682139677009e-09,2.6370017249667077e-09,52,1.356680414710301e-09
130,169.1665003299713,172.1262731552124,4.744431380267606e-05,1743444178.9299371,2.731350640399572e-09,1.4651619914383954e-09,53,1.2661886489611767e-09
143,185.69804334640503,188.65809774398804,3.542127362208638e-05,1743444195.4617617,2.0396028909740905e-09,1.1478204924533118e-09,54,8.917823985207787e-10
157,203.49612736701965,206.45590615272522,3.31039235482453e-05,1743444213.2595701,1.7713455818444972e-09,1.0785105594746858e-09,55,6.928350223698115e-10
172,222.5698914527893,225.5297191143036,2.6012186804142427e-05,1743444232.333383,1.2862287467164102e-09,8.233037983245755e-10,56,4.6292494839183486e-10
190,245.5410497188568,248.50108861923218,1.9987231234343156e-05,1743444255.3047526,7.481725241094452e-10,4.0133855239925663e-10,57,3.468339717101886e-10
