step,time,l2_error,loss,arm,system,seed,lr,damping,momentum,norm_constraint,num_seconds,equation
0,6.5956456661224365,1.6318502220901931,2.842923544649264,engdw,heat4,1,,,,,3000,heat
1,13.232050895690918,1.6041807335986111,2.3590225380865966,engdw,heat4,1,,,,,3000,heat
2,19.53247880935669,1.5603130076406717,2.1159825985149086,engdw,heat4,1,,,,,3000,heat
3,25.84574818611145,1.4343751726231135,2.015778848527917,engdw,heat4,1,,,,,3000,heat
4,32.16239833831787,1.304218187058581,1.7032492749748998,engdw,heat4,1,,,,,3000,heat
5,38.47802495956421,1.1782842336538548,1.3662833341191012,engdw,heat4,1,,,,,3000,heat
6,44.79250645637512,1.0616217132416192,1.0981083500937066,engdw,heat4,1,,,,,3000,heat
7,51.10777568817139,0.957555031256079,0.898892410949263,engdw,heat4,1,,,,,3000,heat
8,57.42296004295349,0.8635115629596399,0.7311562264495779,engdw,heat4,1,,,,,3000,heat
9,63.74047923088074,0.7781132480615911,0.6284111558895236,engdw,heat4,1,,,,,3000,heat
10,70.05519390106201,0.7008801385441918,0.4894101002684406,engdw,heat4,1,,,,,3000,heat
11,76.36882948875427,0.6315524086293494,0.4022986646984813,engdw,heat4,1,,,,,3000,heat
12,82.68576574325562,0.5690026659980414,0.3320583050344282,engdw,heat4,1,,,,,3000,heat
13,89.00309538841248,0.5124910995265753,0.2703715655407695,engdw,heat4,1,,,,,3000,heat
14,95.32072257995605,0.4615883160709137,0.21692016108776221,engdw,heat4,1,,,,,3000,heat
15,101.6361870765686,0.41584005710516325,0.17381581829124754,engdw,heat4,1,,,,,3000,heat
16,107.95554065704346,0.37457652640007266,0.14320579170156192,engdw,heat4,1,,,,,3000,heat
17,114.26819252967834,0.3374055798272181,0.11938464768289538,engdw,heat4,1,,,,,3000,heat
18,120.6070396900177,0.3040292296792826,0.09365171525596386,engdw,heat4,1,,,,,3000,heat
19,126.97601389884949,0.2740064705444359,0.07407234962062428,engdw,heat4,1,,,,,3000,heat
20,133.34829711914062,0.24687211502079962,0.058679783804494255,engdw,heat4,1,,,,,3000,heat
21,139.71665287017822,0.2224379730358166,0.047869315739949965,engdw,heat4,1,,,,,3000,heat
22,146.0862431526184,0.20048079830095167,0.04015106166030839,engdw,heat4,1,,,,,3000,heat
23,152.45429110527039,0.1805742142501926,0.03217541481236823,engdw,heat4,1,,,,,3000,heat
24,158.8255648612976,0.16272670077028573,0.02744810544277054,engdw,heat4,1,,,,,3000,heat
25,165.19309186935425,0.14665511179913468,0.02228009414620202,engdw,heat4,1,,,,,3000,heat
26,171.5641016960144,0.1321115157761316,0.017297190992738264,engdw,heat4,1,,,,,3000,heat
27,177.93564462661743,0.1190662599016885,0.014424639138429668,engdw,heat4,1,,,,,3000,heat
28,184.3029556274414,0.10726279287540973,0.011814367730688228,engdw,heat4,1,,,,,3000,heat
29,190.67134547233582,0.09661737772968701,0.00953215666167584,engdw,heat4,1,,,,,3000,heat
30,197.0386564731598,0.08708472874154816,0.007859731205131283,engdw,heat4,1,,,,,3000,heat
31,203.4115674495697,0.07849586887973047,0.006132882658775948,engdw,heat4,1,,,,,3000,heat
32,209.7801742553711,0.07075344445267709,0.005220556200109051,engdw,heat4,1,,,,,3000,heat
33,216.14783477783203,0.06376967795773117,0.0041187019269678105,engdw,heat4,1,,,,,3000,heat
34,222.51736211776733,0.05746159013108164,0.0032670469975420403,engdw,heat4,1,,,,,3000,heat
35,228.88454389572144,0.051764657359671326,0.0026969428450988875,engdw,heat4,1,,,,,3000,heat
36,235.25256848335266,0.04664562847230336,0.0022096884389873114,engdw,heat4,1,,,,,3000,heat
37,241.62141919136047,0.04204377316343811,0.0017699480576728595,engdw,heat4,1,,,,,3000,heat
38,247.99233222007751,0.037856541040766634,0.0014579613173992681,engdw,heat4,1,,,,,3000,heat
